연도,총인구,고령인구,유소년인구,생산가능인구,고령화율,요양_1등급,요양_2등급,요양_3등급,요양_4등급,요양_5등급,요양_계,요양_등급외,요양_인지지원등급,건강조사_응답자수,평균연령,수급자수_연평균
2014,,,,,,135.0,387.0,689.0,510.0,53.0,2424.0,650.0,,1793,48.9,59.0
2015,319929.0,33269.0,53976.0,232684.0,10.4,149.0,404.0,730.0,624.0,93.0,2638.0,638.0,,1793,49.3,62.0
2016,,,,,,165.0,413.0,783.0,707.0,148.0,2857.0,641.0,,1791,51.2,75.0
2017,,,,,,183.0,436.0,783.0,976.0,253.0,3326.0,695.0,,1792,51.2,72.0
2018,,,,,,193.0,463.0,841.0,1164.0,322.0,3687.0,646.0,58.0,1793,52.1,72.0
2019,,,,,,189.0,471.0,1051.0,1438.0,402.0,4229.0,583.0,95.0,1793,53.3,85.0
2020,340518.0,41700.0,52554.0,246264.0,12.25,179.0,495.0,1192.0,1668.0,470.0,4701.0,555.0,142.0,1784,53.3,94.0
2021,,,,,,222.0,515.0,1321.0,1894.0,582.0,5306.0,586.0,186.0,1798,52.8,105.0
2022,,,,,,213.0,513.0,1314.0,2021.0,685.0,5589.0,617.0,226.0,1791,54.1,115.0
2023,376632.0,49666.0,53252.0,273714.0,13.19,258.0,518.0,1437.0,2111.0,820.0,6070.0,632.0,294.0,1785,54.3,124.0
2024,392509.0,53048.0,53482.0,285979.0,13.52,264.0,505.0,1543.0,2418.0,939.0,6546.0,603.0,274.0,1789,53.6,130.0
