읍면동,총인구,유소년인구,생산가능인구,고령인구,고령화율,고령화지수,노년부양비,시설_합계,인구천명당_시설수
도고면,4533.0,145.0,2370.0,2018.0,44.52,1391.7,85.1,6.0,1.32
선장면,3159.0,64.0,1720.0,1375.0,43.53,2148.4,79.9,,
송악면,3860.0,248.0,2148.0,1464.0,37.93,590.3,68.2,1.0,0.26
영인면,6084.0,229.0,3698.0,2157.0,35.45,941.9,58.3,1.0,0.16
염치읍,5851.0,346.0,3634.0,1871.0,31.98,540.8,51.5,2.0,0.34
인주면,6753.0,297.0,4602.0,1854.0,27.45,624.2,40.3,2.0,0.3
온양2동,11852.0,635.0,8415.0,2802.0,23.64,441.3,33.3,,
온양1동,10023.0,1066.0,7117.0,1840.0,18.36,172.6,25.9,,
온양4동,18263.0,2002.0,12995.0,3266.0,17.88,163.1,25.1,,
온양6동,26363.0,3671.0,18509.0,4183.0,15.87,113.9,22.6,,
온양5동,21566.0,2723.0,15789.0,3054.0,14.16,112.2,19.3,,
온양3동,38920.0,5807.0,27921.0,5192.0,13.34,89.4,18.6,,
신창면,35532.0,3297.0,27719.0,4516.0,12.71,137.0,16.3,4.0,0.11
음봉면,25320.0,3608.0,18617.0,3095.0,12.22,85.8,16.6,1.0,0.04
둔포면,32129.0,4359.0,24153.0,3617.0,11.26,83.0,15.0,5.0,0.16
배방읍,92653.0,14014.0,69904.0,8735.0,9.43,62.3,12.5,10.0,0.11
탕정면,49648.0,10971.0,36668.0,2009.0,4.05,18.3,5.5,2.0,0.04
