연도,총인구_추계,고령인구_추계,유소년인구_추계,생산가능인구_추계,고령화율_추계,고령화지수_추계,노년부양비_추계
2024,2223801,460769,243591,1519441,20.72,189.2,30.3
2026,2233847,514938,222641,1496268,23.05,231.3,34.4
2028,2243868,560381,202498,1480989,24.97,276.7,37.8
2030,2253655,602247,186463,1464945,26.72,323.0,41.1
2032,2262324,641971,174339,1446014,28.38,368.2,44.4
2034,2269269,688643,169151,1411475,30.35,407.1,48.8
2036,2273941,735383,168735,1369823,32.34,435.8,53.7
2038,2276109,779934,171325,1324850,34.27,455.2,58.9
2040,2274956,819216,174483,1281257,36.01,469.5,63.9
2042,2270318,848928,176836,1244554,37.39,480.1,68.2
2044,2262279,876863,176915,1208501,38.76,495.6,72.6
2046,2250222,908895,175043,1166284,40.39,519.2,77.9
2048,2233333,936524,171478,1125331,41.93,546.1,83.2
2050,2211343,948457,166381,1096505,42.89,570.1,86.5
2052,2184426,954553,159824,1070049,43.7,597.3,89.2
