연도,추계_고령인구,추정_인정률,추정_요양인원,추정_1등급,추정_2등급,추정_3등급,추정_4등급,추정_5등급,추정_등급외,추정_인지지원등급
2025,56413,13.19,7440,299,630,1755,2675,994,760,324
2026,60518,13.69,8284,333,702,1954,2978,1107,846,361
2027,63924,14.19,9069,365,769,2139,3261,1212,926,395
2028,67607,14.69,9930,400,842,2342,3570,1327,1014,432
2029,70632,15.19,10727,432,909,2530,3857,1434,1096,467
2030,74535,15.69,11693,471,991,2758,4204,1563,1195,509
2035,93537,18.19,17011,685,1442,4012,6117,2274,1738,741
2040,114161,20.69,23615,951,2002,5570,8491,3157,2413,1029
2045,131426,23.19,30471,1227,2583,7188,10957,4073,3114,1328
2050,146960,25.68,37745,1521,3200,8904,13573,5046,3857,1645
