연도,인정률,보수_고령인구,보수_요양인원,기본_고령인구,기본_요양인원,적극_고령인구,적극_요양인원
2025,13.19,55991,7384,56413,7440,61590,8123
2026,13.69,59269,8113,60518,8284,65196,8924
2027,14.19,61785,8766,63924,9069,67963,9643
2028,14.69,64500,9474,67607,9930,70950,10421
2029,15.19,66527,10104,70632,10727,73180,11114
2030,15.69,69319,10874,74535,11693,76250,11962
2035,18.19,81835,14883,93537,17011,90019,16371
2040,20.69,94292,19505,114161,23615,103721,21455
2045,23.19,102801,23834,131426,30471,113081,26217
2050,25.68,109167,28038,146960,37745,120084,30842
