연도,총인구_추계,고령인구_추계,아산_고령_보수,아산_비중_추세,아산_고령_기본,아산_고령_적극
2025,2229051,486458,55991,11.596632653061192,56413,61590
2026,2233847,514938,59269,11.752551020408134,60518,65196
2027,2238820,536793,61785,11.908469387755076,63924,67963
2028,2243868,560381,64500,12.064387755102018,67607,70950
2029,2248859,577992,66527,12.22030612244896,70632,73180
2030,2253655,602247,69319,12.376224489795902,74535,76250
2031,2258170,621116,71490,12.532142857142844,77839,78639
2032,2262324,641971,73891,12.688061224489786,81454,81280
2033,2266059,663085,76321,12.843979591836728,85167,83953
2034,2269269,688643,79263,12.99989795918367,89523,87189
2035,2271887,710994,81835,13.155816326530612,93537,90019
2036,2273941,735383,84643,13.311734693877554,97892,93107
2037,2275392,757739,87216,13.467653061224496,102050,95937
2038,2276109,779934,89770,13.623571428571438,106255,98747
2039,2275980,801275,92227,13.77948979591838,110412,101449
2040,2274956,819216,94292,13.935408163265265,114161,103721
2041,2273053,835236,96136,14.091326530612207,117696,105749
2042,2270318,848928,97712,14.247244897959149,120949,107483
2043,2266742,863067,99339,14.403163265306091,124309,109273
2044,2262279,876863,100927,14.559081632653033,127663,111020
2045,2256841,893141,102801,14.714999999999975,131426,113081
2046,2250222,908895,104614,14.870918367346917,135161,115075
2047,2242396,924245,106381,15.026836734693859,138885,117019
2048,2233333,936524,107794,15.182755102040801,142190,118573
2049,2222998,944053,108661,15.338673469387743,144805,119527
2050,2211343,948457,109167,15.494591836734685,146960,120084
2051,2198493,952140,109591,15.650510204081627,149015,120550
2052,2184426,954553,109869,15.806428571428569,150881,120856
