읍면동,인구천명당_시설수,시설_합계,시설_유형수,n_천명당,n_다양성,n_절대수,공급_스코어,공급_순위
도고면,1.32,6.0,4.0,1.0,1.0,0.6,87.99999999999999,1
둔포면,0.16,5.0,3.0,0.12121212121212122,0.75,0.5,42.348484848484844,3
배방읍,0.11,10.0,4.0,0.08333333333333333,1.0,1.0,63.33333333333333,2
선장면,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
송악면,0.26,1.0,1.0,0.19696969696969696,0.25,0.1,18.37878787878788,8
신창면,0.11,4.0,2.0,0.08333333333333333,0.5,0.4,30.333333333333336,4
염치읍,0.34,2.0,1.0,0.25757575757575757,0.25,0.2,23.803030303030305,6
영인면,0.16,1.0,1.0,0.12121212121212122,0.25,0.1,15.34848484848485,9
온양1동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
온양2동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
온양3동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
온양4동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
온양5동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
온양6동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
음봉면,0.04,1.0,1.0,0.030303030303030304,0.25,0.1,11.712121212121213,10
인주면,0.3,2.0,2.0,0.22727272727272727,0.5,0.2,30.09090909090909,5
탕정면,0.04,2.0,2.0,0.030303030303030304,0.5,0.2,22.21212121212121,7
