읍면동,고령화율,노년부양비,고령인구,고령화지수,고령화_가속도,n_고령화율,n_가속도,n_부양비,n_고령인구,n_고령화지수,수요_스코어,수요_순위
도고면,44.52,85.1,2018.0,1391.7,1.4233333333333336,1.0,1.0,1.0,0.08736413043478261,0.6447584620440355,80.98183888718226,1
둔포면,11.26,15.0,3617.0,83.0,-0.40111111111111103,0.1781566592537682,0.0,0.11934673366834171,0.3046195652173913,0.030374160837519367,13.353274010145247,16
배방읍,9.43,12.5,8735.0,62.3,0.37555555555555553,0.1329379787496911,0.4257003654080389,0.08793969849246232,1.0,0.02065630721562368,27.88198191415723,10
선장면,43.53,79.9,1375.0,2148.4,1.0677777777777777,0.9755374351371385,0.8051157125456758,0.934673366834171,0.0,1.0,79.70969291315357,2
송악면,37.93,68.2,1464.0,590.3,1.141111111111111,0.8371633308623672,0.8453105968331301,0.7876884422110554,0.012092391304347826,0.2685319938031078,61.69613571025619,3
신창면,12.71,16.3,4516.0,137.0,0.37,0.21398566839634295,0.42265529841656513,0.13567839195979903,0.4267663043478261,0.05572508332942116,23.38873014229245,13
염치읍,31.98,51.5,1871.0,540.8,1.2544444444444443,0.6901408450704224,0.9074299634591959,0.577889447236181,0.06739130434782609,0.2452936481855312,53.45318527290549,5
영인면,35.45,58.3,2157.0,941.9,1.0411111111111115,0.7758833703978255,0.7904993909866018,0.6633165829145728,0.10625,0.4335946669170462,59.8145765533538,4
온양1동,18.36,25.9,1840.0,172.6,0.10111111111111112,0.35359525574499623,0.27527405602923255,0.2562814070351759,0.06317934782608696,0.07243791371297122,23.17826261175364,14
온양2동,23.64,33.3,2802.0,441.3,0.9411111111111112,0.48406226834692356,0.7356881851400731,0.3492462311557789,0.1938858695652174,0.19858222618656401,40.17536804268,7
온양3동,13.34,18.6,5192.0,89.4,0.4477777777777777,0.2295527551272547,0.46528623629719845,0.16457286432160806,0.5186141304347827,0.03337871461433736,26.26009048205262,11
온양4동,17.88,25.1,3266.0,163.1,0.8999999999999999,0.3417346182357301,0.7131546894031667,0.2462311557788945,0.25692934782608695,0.06797802920050701,31.978748437990674,8
온양5동,14.16,19.3,3054.0,112.2,0.6699999999999999,0.24981467753891767,0.5870889159561509,0.1733668341708543,0.228125,0.04408243744425145,24.718056481444922,12
온양6동,15.87,22.6,4183.0,113.9,0.6566666666666665,0.29206819866567824,0.5797807551766136,0.21482412060301512,0.3815217391304348,0.04488052204121873,29.225394220269735,9
음봉면,12.22,16.6,3095.0,85.8,0.23111111111111113,0.20187793427230047,0.3465286236297198,0.13944723618090454,0.23369565217391305,0.03168865311487724,18.72121286646928,15
인주면,27.45,40.3,1854.0,624.2,1.0244444444444443,0.5782060785767233,0.78136419001218,0.4371859296482412,0.06508152173913044,0.2844467395896907,45.23921736862275,6
탕정면,4.05,5.5,2009.0,18.3,0.024444444444444418,0.0,0.23325213154689398,0.0,0.08614130434782609,0.0,4.790901538420801,17
