읍면동,수요_스코어,수요_순위,공급_스코어,공급_순위,갭_스코어,갭_순위,등급,총인구,고령인구,고령화율,노년부양비,시설_합계
선장면,79.70969291315357,2,0.0,14,79.70969291315357,1,🔴 심각,3159.0,1375.0,43.53,79.9,
영인면,59.8145765533538,4,15.34848484848485,9,44.46609170486895,2,🟠 경고,6084.0,2157.0,35.45,58.3,1.0
송악면,61.69613571025619,3,18.37878787878788,8,43.31734783146831,3,🟠 경고,3860.0,1464.0,37.93,68.2,1.0
온양2동,40.17536804268,7,0.0,14,40.17536804268,4,🟠 경고,11852.0,2802.0,23.64,33.3,
온양4동,31.978748437990674,8,0.0,14,31.978748437990674,5,🟡 주의,18263.0,3266.0,17.88,25.1,
염치읍,53.45318527290549,5,23.803030303030305,6,29.65015496987519,6,🟡 주의,5851.0,1871.0,31.98,51.5,2.0
온양6동,29.225394220269735,9,0.0,14,29.225394220269735,7,🟡 주의,26363.0,4183.0,15.87,22.6,
온양3동,26.26009048205262,11,0.0,14,26.26009048205262,8,🟡 주의,38920.0,5192.0,13.34,18.6,
온양5동,24.718056481444922,12,0.0,14,24.718056481444922,9,🟡 주의,21566.0,3054.0,14.16,19.3,
온양1동,23.17826261175364,14,0.0,14,23.17826261175364,10,🟡 주의,10023.0,1840.0,18.36,25.9,
인주면,45.23921736862275,6,30.09090909090909,5,15.148308277713657,11,🟢 양호,6753.0,1854.0,27.45,40.3,2.0
음봉면,18.72121286646928,15,11.712121212121213,10,7.009091654348067,12,🟢 양호,25320.0,3095.0,12.22,16.6,1.0
신창면,23.38873014229245,13,30.333333333333336,4,-6.944603191040887,13,🟢 양호,35532.0,4516.0,12.71,16.3,4.0
도고면,80.98183888718226,1,87.99999999999999,1,-7.018161112817722,14,🟢 양호,4533.0,2018.0,44.52,85.1,6.0
탕정면,4.790901538420801,17,22.21212121212121,7,-17.42121967370041,15,🟢 양호,49648.0,2009.0,4.05,5.5,2.0
둔포면,13.353274010145247,16,42.348484848484844,3,-28.995210838339595,16,🟢 양호,32129.0,3617.0,11.26,15.0,5.0
배방읍,27.88198191415723,10,63.33333333333333,2,-35.4513514191761,17,🟢 양호,92653.0,8735.0,9.43,12.5,10.0
