읍면동,연도,총인구,고령인구,고령화율,유소년인구,생산가능인구,고령화지수,노년부양비,시설_방문목욕,시설_방문요양,시설_재가노인지원서비스,시설_주야간보호,시설_복지용구,시설_합계,인구천명당_시설수
도고면,2015,4756.0,1508.0,31.71,281.0,2967.0,536.7,50.8,,,,,,,
도고면,2020,4578.0,1904.0,41.59,168.0,2506.0,1133.3,76.0,,,,,,,
도고면,2023,4428.0,1971.0,44.51,167.0,2290.0,1180.2,86.1,,,,,,,
도고면,2024,4533.0,2018.0,44.52,145.0,2370.0,1391.7,85.1,1.0,2.0,1.0,2.0,0.0,6.0,1.32
둔포면,2015,13592.0,2021.0,14.87,1122.0,10449.0,180.1,19.3,,,,,,,
둔포면,2020,27006.0,2733.0,10.12,3747.0,20526.0,72.9,13.3,,,,,,,
둔포면,2023,30326.0,3379.0,11.14,4214.0,22733.0,80.2,14.9,,,,,,,
둔포면,2024,32129.0,3617.0,11.26,4359.0,24153.0,83.0,15.0,2.0,2.0,0.0,1.0,0.0,5.0,0.16
배방읍,2015,68783.0,4158.0,6.05,15159.0,49466.0,27.4,8.4,,,,,,,
배방읍,2020,76130.0,5907.0,7.76,14498.0,55725.0,40.7,10.6,,,,,,,
배방읍,2023,86956.0,7802.0,8.97,13653.0,65501.0,57.1,11.9,,,,,,,
배방읍,2024,92653.0,8735.0,9.43,14014.0,69904.0,62.3,12.5,3.0,4.0,0.0,2.0,1.0,10.0,0.11
선장면,2015,3753.0,1273.0,33.92,157.0,2323.0,810.8,54.8,,,,,,,
선장면,2020,3408.0,1323.0,38.82,96.0,1989.0,1378.1,66.5,,,,,,,
선장면,2023,3181.0,1381.0,43.41,70.0,1730.0,1972.9,79.8,,,,,,,
선장면,2024,3159.0,1375.0,43.53,64.0,1720.0,2148.4,79.9,,,,,,,
송악면,2015,4140.0,1145.0,27.66,439.0,2556.0,260.8,44.8,,,,,,,
송악면,2020,4045.0,1364.0,33.72,395.0,2286.0,345.3,59.7,,,,,,,
송악면,2023,3950.0,1427.0,36.13,294.0,2229.0,485.4,64.0,,,,,,,
송악면,2024,3860.0,1464.0,37.93,248.0,2148.0,590.3,68.2,0.0,0.0,0.0,1.0,0.0,1.0,0.26
신창면,2015,30346.0,2847.0,9.38,4127.0,23372.0,69.0,12.2,,,,,,,
신창면,2020,28881.0,3477.0,12.04,3256.0,22148.0,106.8,15.7,,,,,,,
신창면,2023,32158.0,4067.0,12.65,2928.0,25163.0,138.9,16.2,,,,,,,
신창면,2024,35532.0,4516.0,12.71,3297.0,27719.0,137.0,16.3,1.0,3.0,0.0,0.0,0.0,4.0,0.11
염치읍,2015,7643.0,1581.0,20.69,1032.0,5030.0,153.2,31.4,,,,,,,
염치읍,2020,6521.0,1674.0,25.67,622.0,4225.0,269.1,39.6,,,,,,,
염치읍,2023,6094.0,1825.0,29.95,408.0,3861.0,447.3,47.3,,,,,,,
염치읍,2024,5851.0,1871.0,31.98,346.0,3634.0,540.8,51.5,0.0,0.0,0.0,2.0,0.0,2.0,0.34
영인면,2015,7009.0,1828.0,26.08,416.0,4765.0,439.4,38.4,,,,,,,
영인면,2020,6144.0,1925.0,31.33,249.0,3970.0,773.1,48.5,,,,,,,
영인면,2023,6025.0,2084.0,34.59,224.0,3717.0,930.4,56.1,,,,,,,
영인면,2024,6084.0,2157.0,35.45,229.0,3698.0,941.9,58.3,0.0,0.0,0.0,1.0,0.0,1.0,0.16
온양1동,2015,6538.0,1141.0,17.45,604.0,4793.0,188.9,23.8,,,,,,,
온양1동,2020,9849.0,1581.0,16.05,1275.0,6993.0,124.0,22.6,,,,,,,
온양1동,2023,9225.0,1701.0,18.44,1035.0,6489.0,164.3,26.2,,,,,,,
온양1동,2024,10023.0,1840.0,18.36,1066.0,7117.0,172.6,25.9,,,,,,,
온양2동,2015,8752.0,1328.0,15.17,874.0,6550.0,151.9,20.3,,,,,,,
온양2동,2020,8251.0,1820.0,22.06,577.0,5854.0,315.4,31.1,,,,,,,
온양2동,2023,12248.0,2653.0,21.66,735.0,8860.0,361.0,29.9,,,,,,,
온양2동,2024,11852.0,2802.0,23.64,635.0,8415.0,441.3,33.3,,,,,,,
온양3동,2015,32624.0,3036.0,9.31,6552.0,23036.0,46.3,13.2,,,,,,,
온양3동,2020,36835.0,3877.0,10.53,6661.0,26297.0,58.2,14.7,,,,,,,
온양3동,2023,39174.0,4873.0,12.44,6138.0,28163.0,79.4,17.3,,,,,,,
온양3동,2024,38920.0,5192.0,13.34,5807.0,27921.0,89.4,18.6,,,,,,,
온양4동,2015,20887.0,2042.0,9.78,3906.0,14939.0,52.3,13.7,,,,,,,
온양4동,2020,19911.0,2569.0,12.9,2917.0,14425.0,88.1,17.8,,,,,,,
온양4동,2023,19312.0,3094.0,16.02,2376.0,13842.0,130.2,22.4,,,,,,,
온양4동,2024,18263.0,3266.0,17.88,2002.0,12995.0,163.1,25.1,,,,,,,
온양5동,2015,27646.0,2249.0,8.13,5204.0,20193.0,43.2,11.1,,,,,,,
온양5동,2020,25970.0,2856.0,11.0,4061.0,19053.0,70.3,15.0,,,,,,,
온양5동,2023,20995.0,2788.0,13.28,2887.0,15320.0,96.6,18.2,,,,,,,
온양5동,2024,21566.0,3054.0,14.16,2723.0,15789.0,112.2,19.3,,,,,,,
온양6동,2015,25806.0,2570.0,9.96,5290.0,17946.0,48.6,14.3,,,,,,,
온양6동,2020,28817.0,3371.0,11.7,5209.0,20237.0,64.7,16.7,,,,,,,
온양6동,2023,26953.0,4045.0,15.01,3988.0,18920.0,101.4,21.4,,,,,,,
온양6동,2024,26363.0,4183.0,15.87,3671.0,18509.0,113.9,22.6,,,,,,,
음봉면,2015,17827.0,1808.0,10.14,2609.0,13410.0,69.3,13.5,,,,,,,
음봉면,2020,21423.0,2379.0,11.1,3647.0,15397.0,65.2,15.5,,,,,,,
음봉면,2023,21660.0,2839.0,13.11,3181.0,15640.0,89.2,18.2,,,,,,,
음봉면,2024,25320.0,3095.0,12.22,3608.0,18617.0,85.8,16.6,0.0,0.0,0.0,1.0,0.0,1.0,0.04
인주면,2015,8406.0,1532.0,18.23,878.0,5996.0,174.5,25.6,,,,,,,
인주면,2020,7382.0,1679.0,22.74,483.0,5220.0,347.6,32.2,,,,,,,
인주면,2023,6583.0,1848.0,28.07,328.0,4407.0,563.4,41.9,,,,,,,
인주면,2024,6753.0,1854.0,27.45,297.0,4602.0,624.2,40.3,1.0,1.0,0.0,0.0,0.0,2.0,0.3
탕정면,2015,31421.0,1202.0,3.83,5326.0,24893.0,22.6,4.8,,,,,,,
탕정면,2020,25367.0,1261.0,4.97,4693.0,19413.0,26.9,6.5,,,,,,,
탕정면,2023,47364.0,1889.0,3.99,10626.0,34849.0,17.8,5.4,,,,,,,
탕정면,2024,49648.0,2009.0,4.05,10971.0,36668.0,18.3,5.5,0.0,1.0,0.0,1.0,0.0,2.0,0.04
