연도,총인구_추계,고령인구_추계,유소년인구_추계,생산가능인구_추계,고령화율_추계,고령화지수_추계,노년부양비_추계
2014,2087600,321437,305677,1460486,15.4,105.2,22.0
2015,2102811,329689,298669,1474453,15.68,110.4,22.4
2016,2126174,337713,293865,1494596,15.88,114.9,22.6
2017,2153380,350303,291878,1511199,16.27,120.0,23.2
2018,2177105,360253,289298,1527554,16.55,124.5,23.6
2019,2189132,371663,284097,1533372,16.98,130.8,24.2
2020,2176641,389832,277170,1509639,17.91,140.6,25.8
2021,2175014,406208,270409,1498397,18.68,150.2,27.1
2022,2185996,422721,261706,1501569,19.34,161.5,28.2
2023,2204306,440396,251640,1512270,19.98,175.0,29.1
2024,2223801,460769,243591,1519441,20.72,189.2,30.3
2025,2229051,486458,233807,1508786,21.82,208.1,32.2
2026,2233847,514938,222641,1496268,23.05,231.3,34.4
2027,2238820,536793,212076,1489951,23.98,253.1,36.0
2028,2243868,560381,202498,1480989,24.97,276.7,37.8
2029,2248859,577992,194481,1476386,25.7,297.2,39.1
2030,2253655,602247,186463,1464945,26.72,323.0,41.1
2031,2258170,621116,179399,1457655,27.51,346.2,42.6
2032,2262324,641971,174339,1446014,28.38,368.2,44.4
2033,2266059,663085,171038,1431936,29.26,387.7,46.3
2034,2269269,688643,169151,1411475,30.35,407.1,48.8
2035,2271887,710994,168446,1392447,31.3,422.1,51.1
2036,2273941,735383,168735,1369823,32.34,435.8,53.7
2037,2275392,757739,169932,1347721,33.3,445.9,56.2
2038,2276109,779934,171325,1324850,34.27,455.2,58.9
2039,2275980,801275,172880,1301825,35.21,463.5,61.6
2040,2274956,819216,174483,1281257,36.01,469.5,63.9
2041,2273053,835236,175966,1261851,36.75,474.7,66.2
2042,2270318,848928,176836,1244554,37.39,480.1,68.2
2043,2266742,863067,177139,1226536,38.08,487.2,70.4
2044,2262279,876863,176915,1208501,38.76,495.6,72.6
2045,2256841,893141,176206,1187494,39.57,506.9,75.2
2046,2250222,908895,175043,1166284,40.39,519.2,77.9
2047,2242396,924245,173456,1144695,41.22,532.8,80.7
2048,2233333,936524,171478,1125331,41.93,546.1,83.2
2049,2222998,944053,169120,1109825,42.47,558.2,85.1
2050,2211343,948457,166381,1096505,42.89,570.1,86.5
2051,2198493,952140,163285,1083068,43.31,583.1,87.9
2052,2184426,954553,159824,1070049,43.7,597.3,89.2
