읍면동,연도,항목,값
염치읍,2015,총인구 (명),7643.0
염치읍,2015,남자 (명),4052.0
염치읍,2015,여자 (명),3591.0
염치읍,2015,내국인-계 (명),7287.0
염치읍,2015,내국인-남자 (명),3792.0
염치읍,2015,내국인-여자 (명),3495.0
염치읍,2015,외국인-계 (명),356.0
염치읍,2015,외국인-남자 (명),260.0
염치읍,2015,외국인-여자 (명),96.0
염치읍,2015,가구-계 (가구),2937.0
염치읍,2015,일반가구 (가구),2854.0
염치읍,2015,집단가구 (가구),8.0
염치읍,2015,외국인가구 (가구),75.0
염치읍,2015,주택_계 (호),2994.0
염치읍,2015,주택_단독주택 (호),1481.0
염치읍,2015,주택_아파트 (호),1283.0
염치읍,2015,주택_연립주택 (호),51.0
염치읍,2015,주택_다세대주택 (호),154.0
염치읍,2015,주택_비주거용 건물 내 주택 (호),25.0
염치읍,2015,주택 이외의 거처_계 (호),121.0
염치읍,2020,총인구 (명),6521.0
염치읍,2020,남자 (명),3455.0
염치읍,2020,여자 (명),3066.0
염치읍,2020,내국인-계 (명),6209.0
염치읍,2020,내국인-남자 (명),3224.0
염치읍,2020,내국인-여자 (명),2985.0
염치읍,2020,외국인-계 (명),312.0
염치읍,2020,외국인-남자 (명),231.0
염치읍,2020,외국인-여자 (명),81.0
염치읍,2020,가구-계 (가구),2789.0
염치읍,2020,일반가구 (가구),2723.0
염치읍,2020,집단가구 (가구),
염치읍,2020,외국인가구 (가구),63.0
염치읍,2020,주택_계 (호),3017.0
염치읍,2020,주택_단독주택 (호),1491.0
염치읍,2020,주택_아파트 (호),1283.0
염치읍,2020,주택_연립주택 (호),51.0
염치읍,2020,주택_다세대주택 (호),163.0
염치읍,2020,주택_비주거용 건물 내 주택 (호),29.0
염치읍,2020,주택 이외의 거처_계 (호),159.0
배방읍,2015,총인구 (명),68783.0
배방읍,2015,남자 (명),35132.0
배방읍,2015,여자 (명),33651.0
배방읍,2015,내국인-계 (명),67730.0
배방읍,2015,내국인-남자 (명),34617.0
배방읍,2015,내국인-여자 (명),33113.0
배방읍,2015,외국인-계 (명),1053.0
배방읍,2015,외국인-남자 (명),515.0
