읍면동,연령별,항목,연도,값
염치읍,합계,총인구(명),2015,7643.0
염치읍,합계,총인구_남자(명),2015,4052.0
염치읍,합계,총인구_여자(명),2015,3591.0
염치읍,합계,총인구_성비,2015,112.8
염치읍,합계,내국인(명),2015,7287.0
염치읍,합계,내국인_남자(명),2015,3792.0
염치읍,합계,내국인_여자(명),2015,3495.0
염치읍,합계,내국인_성비,2015,108.5
염치읍,0~4세,총인구(명),2015,385.0
염치읍,0~4세,총인구_남자(명),2015,213.0
염치읍,0~4세,총인구_여자(명),2015,172.0
염치읍,0~4세,총인구_성비,2015,123.8
염치읍,0~4세,내국인(명),2015,385.0
염치읍,0~4세,내국인_남자(명),2015,213.0
염치읍,0~4세,내국인_여자(명),2015,172.0
염치읍,0~4세,내국인_성비,2015,123.8
염치읍,5~9세,총인구(명),2015,329.0
염치읍,5~9세,총인구_남자(명),2015,155.0
염치읍,5~9세,총인구_여자(명),2015,174.0
염치읍,5~9세,총인구_성비,2015,89.1
염치읍,5~9세,내국인(명),2015,329.0
염치읍,5~9세,내국인_남자(명),2015,155.0
염치읍,5~9세,내국인_여자(명),2015,174.0
염치읍,5~9세,내국인_성비,2015,89.1
염치읍,10~14세,총인구(명),2015,318.0
염치읍,10~14세,총인구_남자(명),2015,175.0
염치읍,10~14세,총인구_여자(명),2015,143.0
염치읍,10~14세,총인구_성비,2015,122.4
염치읍,10~14세,내국인(명),2015,317.0
염치읍,10~14세,내국인_남자(명),2015,175.0
염치읍,10~14세,내국인_여자(명),2015,142.0
염치읍,10~14세,내국인_성비,2015,123.2
염치읍,15~19세,총인구(명),2015,287.0
염치읍,15~19세,총인구_남자(명),2015,148.0
염치읍,15~19세,총인구_여자(명),2015,139.0
염치읍,15~19세,총인구_성비,2015,106.5
염치읍,15~19세,내국인(명),2015,284.0
염치읍,15~19세,내국인_남자(명),2015,148.0
염치읍,15~19세,내국인_여자(명),2015,136.0
염치읍,15~19세,내국인_성비,2015,108.8
염치읍,20~24세,총인구(명),2015,383.0
염치읍,20~24세,총인구_남자(명),2015,235.0
염치읍,20~24세,총인구_여자(명),2015,148.0
염치읍,20~24세,총인구_성비,2015,158.8
염치읍,20~24세,내국인(명),2015,344.0
염치읍,20~24세,내국인_남자(명),2015,207.0
염치읍,20~24세,내국인_여자(명),2015,137.0
염치읍,20~24세,내국인_성비,2015,151.1
염치읍,25~29세,총인구(명),2015,403.0
염치읍,25~29세,총인구_남자(명),2015,242.0
염치읍,25~29세,총인구_여자(명),2015,161.0
염치읍,25~29세,총인구_성비,2015,150.3
염치읍,25~29세,내국인(명),2015,335.0
염치읍,25~29세,내국인_남자(명),2015,189.0
염치읍,25~29세,내국인_여자(명),2015,146.0
염치읍,25~29세,내국인_성비,2015,129.5
염치읍,30~34세,총인구(명),2015,646.0
염치읍,30~34세,총인구_남자(명),2015,385.0
염치읍,30~34세,총인구_여자(명),2015,261.0
염치읍,30~34세,총인구_성비,2015,147.5
염치읍,30~34세,내국인(명),2015,582.0
염치읍,30~34세,내국인_남자(명),2015,331.0
염치읍,30~34세,내국인_여자(명),2015,251.0
염치읍,30~34세,내국인_성비,2015,131.9
염치읍,35~39세,총인구(명),2015,596.0
염치읍,35~39세,총인구_남자(명),2015,335.0
염치읍,35~39세,총인구_여자(명),2015,261.0
염치읍,35~39세,총인구_성비,2015,128.4
염치읍,35~39세,내국인(명),2015,541.0
염치읍,35~39세,내국인_남자(명),2015,293.0
염치읍,35~39세,내국인_여자(명),2015,248.0
염치읍,35~39세,내국인_성비,2015,118.1
염치읍,40~44세,총인구(명),2015,559.0
염치읍,40~44세,총인구_남자(명),2015,347.0
염치읍,40~44세,총인구_여자(명),2015,212.0
염치읍,40~44세,총인구_성비,2015,163.7
염치읍,40~44세,내국인(명),2015,514.0
염치읍,40~44세,내국인_남자(명),2015,314.0
염치읍,40~44세,내국인_여자(명),2015,200.0
염치읍,40~44세,내국인_성비,2015,157.0
염치읍,45~49세,총인구(명),2015,506.0
염치읍,45~49세,총인구_남자(명),2015,286.0
염치읍,45~49세,총인구_여자(명),2015,220.0
염치읍,45~49세,총인구_성비,2015,130.0
염치읍,45~49세,내국인(명),2015,480.0
염치읍,45~49세,내국인_남자(명),2015,268.0
염치읍,45~49세,내국인_여자(명),2015,212.0
염치읍,45~49세,내국인_성비,2015,126.4
염치읍,50~54세,총인구(명),2015,550.0
염치읍,50~54세,총인구_남자(명),2015,306.0
염치읍,50~54세,총인구_여자(명),2015,244.0
염치읍,50~54세,총인구_성비,2015,125.4
염치읍,50~54세,내국인(명),2015,533.0
염치읍,50~54세,내국인_남자(명),2015,294.0
염치읍,50~54세,내국인_여자(명),2015,239.0
염치읍,50~54세,내국인_성비,2015,123.0
염치읍,55~59세,총인구(명),2015,622.0
염치읍,55~59세,총인구_남자(명),2015,310.0
염치읍,55~59세,총인구_여자(명),2015,312.0
염치읍,55~59세,총인구_성비,2015,99.4
염치읍,55~59세,내국인(명),2015,607.0
염치읍,55~59세,내국인_남자(명),2015,301.0
염치읍,55~59세,내국인_여자(명),2015,306.0
염치읍,55~59세,내국인_성비,2015,98.4
염치읍,60~64세,총인구(명),2015,478.0
염치읍,60~64세,총인구_남자(명),2015,239.0
염치읍,60~64세,총인구_여자(명),2015,239.0
염치읍,60~64세,총인구_성비,2015,100.0
염치읍,60~64세,내국인(명),2015,462.0
염치읍,60~64세,내국인_남자(명),2015,232.0
