시도,성별,연령대,연도,인구수
충청남도,계,계,2014,2087600
충청남도,계,0 - 4세,2014,98885
충청남도,계,5 - 9세,2014,96922
충청남도,계,10 - 14세,2014,109870
충청남도,계,15 - 19세,2014,138950
충청남도,계,20 - 24세,2014,139208
충청남도,계,25 - 29세,2014,128911
충청남도,계,30 - 34세,2014,160240
충청남도,계,35 - 39세,2014,152392
충청남도,계,40 - 44세,2014,170107
충청남도,계,45 - 49세,2014,162124
충청남도,계,50 - 54세,2014,163867
충청남도,계,55 - 59세,2014,141140
충청남도,계,60 - 64세,2014,103547
충청남도,계,65 - 69세,2014,85733
충청남도,계,70 - 74세,2014,85480
충청남도,계,75 - 79세,2014,76114
충청남도,계,80세이상,2014,74110
충청남도,계,80 - 84세,2014,45567
충청남도,계,85 - 89세,2014,20233
충청남도,계,90 - 94세,2014,6825
충청남도,계,95 - 99세,2014,1330
충청남도,계,100세 이상,2014,155
충청남도,남자,계,2014,1067014
충청남도,남자,0 - 4세,2014,51047
충청남도,남자,5 - 9세,2014,50190
충청남도,남자,10 - 14세,2014,57217
충청남도,남자,15 - 19세,2014,72067
충청남도,남자,20 - 24세,2014,75034
충청남도,남자,25 - 29세,2014,71624
충청남도,남자,30 - 34세,2014,88122
충청남도,남자,35 - 39세,2014,82422
충청남도,남자,40 - 44세,2014,91453
충청남도,남자,45 - 49세,2014,85997
충청남도,남자,50 - 54세,2014,85823
충청남도,남자,55 - 59세,2014,71865
충청남도,남자,60 - 64세,2014,50928
충청남도,남자,65 - 69세,2014,41604
충청남도,남자,70 - 74세,2014,37024
충청남도,남자,75 - 79세,2014,30498
충청남도,남자,80세이상,2014,24099
충청남도,남자,80 - 84세,2014,16172
충청남도,남자,85 - 89세,2014,5992
충청남도,남자,90 - 94세,2014,1634
충청남도,남자,95 - 99세,2014,284
충청남도,남자,100세 이상,2014,17
충청남도,여자,계,2014,1020586
충청남도,여자,0 - 4세,2014,47838
충청남도,여자,5 - 9세,2014,46732
충청남도,여자,10 - 14세,2014,52653
충청남도,여자,15 - 19세,2014,66883
충청남도,여자,20 - 24세,2014,64174
충청남도,여자,25 - 29세,2014,57287
충청남도,여자,30 - 34세,2014,72118
충청남도,여자,35 - 39세,2014,69970
충청남도,여자,40 - 44세,2014,78654
충청남도,여자,45 - 49세,2014,76127
충청남도,여자,50 - 54세,2014,78044
충청남도,여자,55 - 59세,2014,69275
충청남도,여자,60 - 64세,2014,52619
충청남도,여자,65 - 69세,2014,44129
충청남도,여자,70 - 74세,2014,48456
충청남도,여자,75 - 79세,2014,45616
충청남도,여자,80세이상,2014,50011
충청남도,여자,80 - 84세,2014,29395
충청남도,여자,85 - 89세,2014,14241
충청남도,여자,90 - 94세,2014,5191
충청남도,여자,95 - 99세,2014,1046
충청남도,여자,100세 이상,2014,138
충청남도,계,계,2015,2102811
충청남도,계,0 - 4세,2015,98388
충청남도,계,5 - 9세,2015,97390
충청남도,계,10 - 14세,2015,102891
충청남도,계,15 - 19세,2015,137444
충청남도,계,20 - 24세,2015,142632
충청남도,계,25 - 29세,2015,127450
충청남도,계,30 - 34세,2015,154752
충청남도,계,35 - 39세,2015,155202
충청남도,계,40 - 44세,2015,169527
충청남도,계,45 - 49세,2015,162010
충청남도,계,50 - 54세,2015,165773
충청남도,계,55 - 59세,2015,148927
충청남도,계,60 - 64세,2015,110736
충청남도,계,65 - 69세,2015,90895
충청남도,계,70 - 74세,2015,83725
충청남도,계,75 - 79세,2015,75958
충청남도,계,80세이상,2015,79111
충청남도,계,80 - 84세,2015,49179
충청남도,계,85 - 89세,2015,21373
충청남도,계,90 - 94세,2015,6944
충청남도,계,95 - 99세,2015,1443
충청남도,계,100세 이상,2015,172
충청남도,남자,계,2015,1075649
충청남도,남자,0 - 4세,2015,50700
충청남도,남자,5 - 9세,2015,50325
충청남도,남자,10 - 14세,2015,53353
충청남도,남자,15 - 19세,2015,71852
충청남도,남자,20 - 24세,2015,76796
충청남도,남자,25 - 29세,2015,71034
충청남도,남자,30 - 34세,2015,85367
충청남도,남자,35 - 39세,2015,83990
충청남도,남자,40 - 44세,2015,91276
충청남도,남자,45 - 49세,2015,85782
충청남도,남자,50 - 54세,2015,87452
충청남도,남자,55 - 59세,2015,75841
충청남도,남자,60 - 64세,2015,54699
충청남도,남자,65 - 69세,2015,44344
충청남도,남자,70 - 74세,2015,36583
충청남도,남자,75 - 79세,2015,30502
충청남도,남자,80세이상,2015,25753
충청남도,남자,80 - 84세,2015,17585
충청남도,남자,85 - 89세,2015,6204
충청남도,남자,90 - 94세,2015,1645
충청남도,남자,95 - 99세,2015,301
충청남도,남자,100세 이상,2015,18
충청남도,여자,계,2015,1027162
충청남도,여자,0 - 4세,2015,47688
충청남도,여자,5 - 9세,2015,47065
충청남도,여자,10 - 14세,2015,49538
충청남도,여자,15 - 19세,2015,65592
충청남도,여자,20 - 24세,2015,65836
충청남도,여자,25 - 29세,2015,56416
충청남도,여자,30 - 34세,2015,69385
충청남도,여자,35 - 39세,2015,71212
충청남도,여자,40 - 44세,2015,78251
충청남도,여자,45 - 49세,2015,76228
충청남도,여자,50 - 54세,2015,78321
충청남도,여자,55 - 59세,2015,73086
충청남도,여자,60 - 64세,2015,56037
충청남도,여자,65 - 69세,2015,46551
충청남도,여자,70 - 74세,2015,47142
충청남도,여자,75 - 79세,2015,45456
충청남도,여자,80세이상,2015,53358
충청남도,여자,80 - 84세,2015,31594
충청남도,여자,85 - 89세,2015,15169
충청남도,여자,90 - 94세,2015,5299
충청남도,여자,95 - 99세,2015,1142
충청남도,여자,100세 이상,2015,154
충청남도,계,계,2016,2126174
충청남도,계,0 - 4세,2016,96671
충청남도,계,5 - 9세,2016,100018
충청남도,계,10 - 14세,2016,97176
충청남도,계,15 - 19세,2016,136297
충청남도,계,20 - 24세,2016,147461
충청남도,계,25 - 29세,2016,127638
충청남도,계,30 - 34세,2016,149260
충청남도,계,35 - 39세,2016,158956
충청남도,계,40 - 44세,2016,165535
충청남도,계,45 - 49세,2016,169235
충청남도,계,50 - 54세,2016,158485
충청남도,계,55 - 59세,2016,160606
충청남도,계,60 - 64세,2016,121123
충청남도,계,65 - 69세,2016,96480
충청남도,계,70 - 74세,2016,80321
충청남도,계,75 - 79세,2016,74760
충청남도,계,80세이상,2016,86152
충청남도,계,80 - 84세,2016,54064
충청남도,계,85 - 89세,2016,22853
충청남도,계,90 - 94세,2016,7490
