시도,시군구,성별,연도,급여유형,등급,인원
충남,아산시,합계,2014,계,계,2424
충남,아산시,합계,2014,계,1등급,135
충남,아산시,합계,2014,계,2등급,387
충남,아산시,합계,2014,계,3등급,689
충남,아산시,합계,2014,계,4등급,510
충남,아산시,합계,2014,계,5등급,53
충남,아산시,합계,2014,계,등급외,650
충남,아산시,합계,2014,일반,계,1672
충남,아산시,합계,2014,일반,1등급,102
충남,아산시,합계,2014,일반,2등급,247
충남,아산시,합계,2014,일반,3등급,476
충남,아산시,합계,2014,일반,4등급,360
충남,아산시,합계,2014,일반,5등급,39
충남,아산시,합계,2014,일반,등급외,448
충남,아산시,합계,2014,감경,계,328
충남,아산시,합계,2014,감경,1등급,21
충남,아산시,합계,2014,감경,2등급,80
충남,아산시,합계,2014,감경,3등급,122
충남,아산시,합계,2014,감경,4등급,78
충남,아산시,합계,2014,감경,5등급,10
충남,아산시,합계,2014,감경,등급외,17
충남,아산시,합계,2014,의료급여,계,26
충남,아산시,합계,2014,의료급여,1등급,1
충남,아산시,합계,2014,의료급여,2등급,6
충남,아산시,합계,2014,의료급여,3등급,6
충남,아산시,합계,2014,의료급여,4등급,6
충남,아산시,합계,2014,의료급여,5등급,0
충남,아산시,합계,2014,의료급여,등급외,7
충남,아산시,합계,2014,기초,계,398
충남,아산시,합계,2014,기초,1등급,11
충남,아산시,합계,2014,기초,2등급,54
충남,아산시,합계,2014,기초,3등급,85
충남,아산시,합계,2014,기초,4등급,66
충남,아산시,합계,2014,기초,5등급,4
충남,아산시,합계,2014,기초,등급외,178
충남,아산시,합계,2015,계,계,2638
충남,아산시,합계,2015,계,1등급,149
충남,아산시,합계,2015,계,2등급,404
충남,아산시,합계,2015,계,3등급,730
충남,아산시,합계,2015,계,4등급,624
충남,아산시,합계,2015,계,5등급,93
충남,아산시,합계,2015,계,등급외,638
충남,아산시,합계,2015,일반,계,1795
충남,아산시,합계,2015,일반,1등급,106
충남,아산시,합계,2015,일반,2등급,254
충남,아산시,합계,2015,일반,3등급,500
충남,아산시,합계,2015,일반,4등급,432
충남,아산시,합계,2015,일반,5등급,69
충남,아산시,합계,2015,일반,등급외,434
충남,아산시,합계,2015,감경,계,372
충남,아산시,합계,2015,감경,1등급,26
충남,아산시,합계,2015,감경,2등급,89
충남,아산시,합계,2015,감경,3등급,125
충남,아산시,합계,2015,감경,4등급,106
충남,아산시,합계,2015,감경,5등급,15
충남,아산시,합계,2015,감경,등급외,11
충남,아산시,합계,2015,의료급여,계,26
충남,아산시,합계,2015,의료급여,1등급,1
충남,아산시,합계,2015,의료급여,2등급,4
충남,아산시,합계,2015,의료급여,3등급,7
충남,아산시,합계,2015,의료급여,4등급,6
충남,아산시,합계,2015,의료급여,5등급,0
충남,아산시,합계,2015,의료급여,등급외,8
충남,아산시,합계,2015,기초,계,445
충남,아산시,합계,2015,기초,1등급,16
충남,아산시,합계,2015,기초,2등급,57
충남,아산시,합계,2015,기초,3등급,98
충남,아산시,합계,2015,기초,4등급,80
충남,아산시,합계,2015,기초,5등급,9
충남,아산시,합계,2015,기초,등급외,185
충남,아산시,합계,2016,계,계,2857
충남,아산시,합계,2016,계,1등급,165
충남,아산시,합계,2016,계,2등급,413
충남,아산시,합계,2016,계,3등급,783
충남,아산시,합계,2016,계,4등급,707
충남,아산시,합계,2016,계,5등급,148
충남,아산시,합계,2016,계,등급외,641
충남,아산시,합계,2016,일반,계,1964
충남,아산시,합계,2016,일반,1등급,121
충남,아산시,합계,2016,일반,2등급,263
충남,아산시,합계,2016,일반,3등급,531
충남,아산시,합계,2016,일반,4등급,502
충남,아산시,합계,2016,일반,5등급,109
충남,아산시,합계,2016,일반,등급외,438
충남,아산시,합계,2016,감경,계,380
충남,아산시,합계,2016,감경,1등급,21
충남,아산시,합계,2016,감경,2등급,77
충남,아산시,합계,2016,감경,3등급,140
충남,아산시,합계,2016,감경,4등급,107
충남,아산시,합계,2016,감경,5등급,24
충남,아산시,합계,2016,감경,등급외,11
충남,아산시,합계,2016,의료급여,계,32
충남,아산시,합계,2016,의료급여,1등급,1
충남,아산시,합계,2016,의료급여,2등급,7
충남,아산시,합계,2016,의료급여,3등급,8
충남,아산시,합계,2016,의료급여,4등급,5
충남,아산시,합계,2016,의료급여,5등급,2
충남,아산시,합계,2016,의료급여,등급외,9
충남,아산시,합계,2016,기초,계,481
충남,아산시,합계,2016,기초,1등급,22
충남,아산시,합계,2016,기초,2등급,66
충남,아산시,합계,2016,기초,3등급,104
충남,아산시,합계,2016,기초,4등급,93
충남,아산시,합계,2016,기초,5등급,13
충남,아산시,합계,2016,기초,등급외,183
충남,아산시,합계,2017,계,계,3326
충남,아산시,합계,2017,계,1등급,183
충남,아산시,합계,2017,계,2등급,436
충남,아산시,합계,2017,계,3등급,783
충남,아산시,합계,2017,계,4등급,976
충남,아산시,합계,2017,계,5등급,253
충남,아산시,합계,2017,계,등급외,695
충남,아산시,합계,2017,일반,계,2314
충남,아산시,합계,2017,일반,1등급,128
충남,아산시,합계,2017,일반,2등급,279
충남,아산시,합계,2017,일반,3등급,526
충남,아산시,합계,2017,일반,4등급,694
충남,아산시,합계,2017,일반,5등급,189
충남,아산시,합계,2017,일반,등급외,498
충남,아산시,합계,2017,감경,계,461
충남,아산시,합계,2017,감경,1등급,29
충남,아산시,합계,2017,감경,2등급,84
충남,아산시,합계,2017,감경,3등급,142
충남,아산시,합계,2017,감경,4등급,157
충남,아산시,합계,2017,감경,5등급,40
충남,아산시,합계,2017,감경,등급외,9
충남,아산시,합계,2017,의료급여,계,36
충남,아산시,합계,2017,의료급여,1등급,1
충남,아산시,합계,2017,의료급여,2등급,5
충남,아산시,합계,2017,의료급여,3등급,8
충남,아산시,합계,2017,의료급여,4등급,12
충남,아산시,합계,2017,의료급여,5등급,1
충남,아산시,합계,2017,의료급여,등급외,9
충남,아산시,합계,2017,기초,계,515
충남,아산시,합계,2017,기초,1등급,25
충남,아산시,합계,2017,기초,2등급,68
충남,아산시,합계,2017,기초,3등급,107
충남,아산시,합계,2017,기초,4등급,113
충남,아산시,합계,2017,기초,5등급,23
충남,아산시,합계,2017,기초,등급외,179
충남,아산시,합계,2018,계,계,3687
충남,아산시,합계,2018,계,1등급,193
충남,아산시,합계,2018,계,2등급,463
충남,아산시,합계,2018,계,3등급,841
충남,아산시,합계,2018,계,4등급,1164
충남,아산시,합계,2018,계,5등급,322
충남,아산시,합계,2018,계,인지지원등급,58
충남,아산시,합계,2018,계,등급외,646
충남,아산시,합계,2018,일반,계,2113
충남,아산시,합계,2018,일반,1등급,97
충남,아산시,합계,2018,일반,2등급,232
충남,아산시,합계,2018,일반,3등급,460
충남,아산시,합계,2018,일반,4등급,656
충남,아산시,합계,2018,일반,5등급,174
충남,아산시,합계,2018,일반,인지지원등급,26
충남,아산시,합계,2018,일반,등급외,468
충남,아산시,합계,2018,감경,계,997
충남,아산시,합계,2018,감경,1등급,73
충남,아산시,합계,2018,감경,2등급,163
충남,아산시,합계,2018,감경,3등급,271
충남,아산시,합계,2018,감경,4등급,350
충남,아산시,합계,2018,감경,5등급,107
충남,아산시,합계,2018,감경,인지지원등급,22
충남,아산시,합계,2018,감경,등급외,11
충남,아산시,합계,2018,의료급여,계,41
충남,아산시,합계,2018,의료급여,1등급,3
충남,아산시,합계,2018,의료급여,2등급,5
충남,아산시,합계,2018,의료급여,3등급,11
충남,아산시,합계,2018,의료급여,4등급,11
충남,아산시,합계,2018,의료급여,5등급,5
충남,아산시,합계,2018,의료급여,등급외,6
충남,아산시,합계,2018,기초,계,536
충남,아산시,합계,2018,기초,1등급,20
충남,아산시,합계,2018,기초,2등급,63
충남,아산시,합계,2018,기초,3등급,99
충남,아산시,합계,2018,기초,4등급,147
충남,아산시,합계,2018,기초,5등급,36
충남,아산시,합계,2018,기초,인지지원등급,10
충남,아산시,합계,2018,기초,등급외,161
충남,아산시,합계,2019,계,계,4229
충남,아산시,합계,2019,계,1등급,189
충남,아산시,합계,2019,계,2등급,471
충남,아산시,합계,2019,계,3등급,1051
충남,아산시,합계,2019,계,4등급,1438
충남,아산시,합계,2019,계,5등급,402
충남,아산시,합계,2019,계,인지지원등급,95
충남,아산시,합계,2019,계,등급외,583
충남,아산시,합계,2019,일반,계,2353
충남,아산시,합계,2019,일반,1등급,96
충남,아산시,합계,2019,일반,2등급,238
충남,아산시,합계,2019,일반,3등급,539
충남,아산시,합계,2019,일반,4등급,783
충남,아산시,합계,2019,일반,5등급,218
충남,아산시,합계,2019,일반,인지지원등급,51
충남,아산시,합계,2019,일반,등급외,428
충남,아산시,합계,2019,감경,계,1220
충남,아산시,합계,2019,감경,1등급,75
충남,아산시,합계,2019,감경,2등급,168
충남,아산시,합계,2019,감경,3등급,360
충남,아산시,합계,2019,감경,4등급,443
충남,아산시,합계,2019,감경,5등급,130
충남,아산시,합계,2019,감경,인지지원등급,30
충남,아산시,합계,2019,감경,등급외,14
충남,아산시,합계,2019,의료급여,계,38
충남,아산시,합계,2019,의료급여,1등급,3
충남,아산시,합계,2019,의료급여,2등급,3
충남,아산시,합계,2019,의료급여,3등급,12
충남,아산시,합계,2019,의료급여,4등급,14
충남,아산시,합계,2019,의료급여,5등급,2
충남,아산시,합계,2019,의료급여,인지지원등급,2
충남,아산시,합계,2019,의료급여,등급외,2
충남,아산시,합계,2019,기초,계,618
충남,아산시,합계,2019,기초,1등급,15
충남,아산시,합계,2019,기초,2등급,62
충남,아산시,합계,2019,기초,3등급,140
충남,아산시,합계,2019,기초,4등급,198
충남,아산시,합계,2019,기초,5등급,52
충남,아산시,합계,2019,기초,인지지원등급,12
충남,아산시,합계,2019,기초,등급외,139
충남,아산시,합계,2020,계,계,4701
충남,아산시,합계,2020,계,1등급,179
충남,아산시,합계,2020,계,2등급,495
충남,아산시,합계,2020,계,3등급,1192
충남,아산시,합계,2020,계,4등급,1668
충남,아산시,합계,2020,계,5등급,470
충남,아산시,합계,2020,계,인지지원등급,142
충남,아산시,합계,2020,계,등급외,555
충남,아산시,합계,2020,일반,계,2560
충남,아산시,합계,2020,일반,1등급,94
충남,아산시,합계,2020,일반,2등급,254
충남,아산시,합계,2020,일반,3등급,635
충남,아산시,합계,2020,일반,4등급,852
충남,아산시,합계,2020,일반,5등급,249
충남,아산시,합계,2020,일반,인지지원등급,68
충남,아산시,합계,2020,일반,등급외,408
충남,아산시,합계,2020,감경,계,1409
충남,아산시,합계,2020,감경,1등급,66
충남,아산시,합계,2020,감경,2등급,172
충남,아산시,합계,2020,감경,3등급,400
충남,아산시,합계,2020,감경,4등급,561
충남,아산시,합계,2020,감경,5등급,152
충남,아산시,합계,2020,감경,인지지원등급,46
충남,아산시,합계,2020,감경,등급외,12
충남,아산시,합계,2020,의료급여,계,37
충남,아산시,합계,2020,의료급여,1등급,1
충남,아산시,합계,2020,의료급여,2등급,1
충남,아산시,합계,2020,의료급여,3등급,14
충남,아산시,합계,2020,의료급여,4등급,13
충남,아산시,합계,2020,의료급여,5등급,3
충남,아산시,합계,2020,의료급여,인지지원등급,4
충남,아산시,합계,2020,의료급여,등급외,1
충남,아산시,합계,2020,기초,계,695
충남,아산시,합계,2020,기초,1등급,18
충남,아산시,합계,2020,기초,2등급,68
충남,아산시,합계,2020,기초,3등급,143
충남,아산시,합계,2020,기초,4등급,242
충남,아산시,합계,2020,기초,5등급,66
충남,아산시,합계,2020,기초,인지지원등급,24
충남,아산시,합계,2020,기초,등급외,134
충남,아산시,합계,2021,계,계,5306
충남,아산시,합계,2021,계,1등급,222
충남,아산시,합계,2021,계,2등급,515
충남,아산시,합계,2021,계,3등급,1321
충남,아산시,합계,2021,계,4등급,1894
충남,아산시,합계,2021,계,5등급,582
충남,아산시,합계,2021,계,인지지원등급,186
충남,아산시,합계,2021,계,등급외,586
충남,아산시,합계,2021,일반,계,2737
충남,아산시,합계,2021,일반,1등급,121
충남,아산시,합계,2021,일반,2등급,251
충남,아산시,합계,2021,일반,3등급,642
충남,아산시,합계,2021,일반,4등급,900
충남,아산시,합계,2021,일반,5등급,285
충남,아산시,합계,2021,일반,인지지원등급,94
