시군,종류,시설명,주소,전화번호,읍면동
아산시,재가노인지원서비스,온양노인복지센터,충청남도 아산시 모종로  110 (모종동),041-543-4411,
아산시,방문목욕,아산노인복지센터,충청남도 아산시 도고면 도고면로147번길  15 (도고면),041-544-7775,도고면
아산시,방문요양,아산노인복지센터,충청남도 아산시 도고면 도고면로147번길  15 (도고면),041-544-7775,도고면
아산시,방문간호,나눔케어,충청남도 아산시 청운로84번길  15 2층 (온천동),041-544-4328,
아산시,방문목욕,나눔케어,충청남도 아산시 청운로84번길  15 2층 (온천동),041-544-4328,
아산시,방문요양,나눔케어,충청남도 아산시 청운로84번길  15 2층 (온천동),041-544-4328,
아산시,방문목욕,행복노인복지센터,충청남도 아산시 둔포면 충무로  1299 (둔포면),041-544-6691,둔포면
아산시,방문요양,행복노인복지센터,충청남도 아산시 둔포면 충무로  1299 (둔포면),041-544-6691,둔포면
아산시,방문요양,아산충무노인주간보호센터,"충청남도 아산시 시민로  294 4층402호 (용화동, 광염빌딩)",041-532-3600,
아산시,방문요양,우리집주간보호센터,충청남도 아산시 시민로  225-9 (용화동),041-545-4670,
아산시,방문요양,돌봄나래노인재가복지센터,충청남도 아산시 온주길16번길  20 (읍내동),041-542-7100,
아산시,방문요양,아산실버주간보호센터,충청남도 아산시 무궁화로  11-6 (신인동),041-541-8300,
아산시,방문목욕,사랑재가 노인복지센터,충청남도 아산시 어의정로31번길  7 1층102호 (온천동),041-541-3064,
아산시,방문요양,사랑재가 노인복지센터,충청남도 아산시 어의정로31번길  7 1층102호 (온천동),041-541-3064,
아산시,방문목욕,해바라기방문요양센터,"충청남도 아산시 고불로  669 316호 (좌부동, 초원설화타운(2단지))",041-549-2333,
아산시,방문요양,해바라기방문요양센터,"충청남도 아산시 고불로  669 316호 (좌부동, 초원설화타운(2단지))",041-549-2333,
아산시,방문요양,실버스쿨노인복지센터,충청남도 아산시 탕정면 탕정면로  141-1 3층 (탕정면),041-541-9888,탕정면
아산시,방문요양,아산재가복지센터,충청남도 아산시 용화로47번길  12-2 2층201호 (온천동),041-531-7877,
아산시,방문요양,기쁨재가방문요양센터,충청남도 아산시 온천대로  1105-17 2층206호 (득산동),041-546-7890,
아산시,방문목욕,쉴가케어 방문요양센터,충청남도 아산시 온화로  47 1층 (온천동),041-546-2063,
아산시,방문요양,쉴가케어 방문요양센터,충청남도 아산시 온화로  47 1층 (온천동),041-546-2063,
아산시,방문요양,한빛방문요양센터,충청남도 아산시 번영로  33 102호 (실옥동),041-545-3532,
아산시,방문목욕,별임재가복지센터,충청남도 아산시 어의정로31번길  14 (온천동),041-534-3348,
아산시,방문요양,별임재가복지센터,충청남도 아산시 어의정로31번길  14 (온천동),041-534-3348,
아산시,방문요양,두리재가복지센터,"충청남도 아산시 신창면 남성길  99 207호 (신창면, 샘마을 상가)",041-533-1345,신창면
아산시,방문간호,선한사랑 돌봄센터(GOOD LOVE CARE CENTER),충청남도 아산시 중앙로  55 5층501호 (온천동),041-533-3667,
아산시,방문요양,선한사랑 돌봄센터(GOOD LOVE CARE CENTER),충청남도 아산시 중앙로  55 5층501호 (온천동),041-533-3667,
아산시,방문요양,선도 재가복지센터,충청남도 아산시 도고면 아산만로  210 (도고면),041-549-1230,도고면
아산시,방문목욕,A+행복한방문목욕,충청남도 아산시 충무로  49 405호 (온천동),041-544-4279,
아산시,방문목욕,늘평안재가복지센터,충청남도 아산시 시민로  380 지하1층 (온천동),041-548-7077,
아산시,방문요양,늘평안재가복지센터,충청남도 아산시 시민로  380 지하1층 (온천동),041-548-7077,
아산시,방문요양,찾아가는 돌봄센터,"충청남도 아산시 온화로 65번길17, 1층 102호",041-547-1533,
아산시,방문목욕,감사재가복지센터,"충청남도 아산시 신창면 온천대로  984 상가동2층209호 (신창면, 아산 코아루 에듀파크 아파트)",041-549-9942,신창면
아산시,방문요양,감사재가복지센터,"충청남도 아산시 신창면 온천대로  984 상가동2층209호 (신창면, 아산 코아루 에듀파크 아파트)",041-549-9942,신창면
아산시,방문목욕,한울재가복지센터,충청남도 아산시 배방읍 북수로111번길  6-4 202-2호 (배방읍),041-546-2033,배방읍
아산시,방문요양,한울재가복지센터,충청남도 아산시 배방읍 북수로111번길  6-4 202-2호 (배방읍),041-546-2033,배방읍
아산시,복지용구,뉴데이 복지용구,충청남도 아산시 배방읍 모산로  38-11 115동 202호동 (배방읍),041-546-1664,배방읍
아산시,방문요양,온미소재가복지센터,충청남도 아산시 배방읍 배방로14번길  89-3 무지개빌동1층 (배방읍),041-549-4119,배방읍
아산시,방문목욕,엘림재가복지센터,충청남도 아산시 둔포면 둔포중앙로171번길  97 3층302호 (둔포면),041-531-9767,둔포면
아산시,방문요양,엘림재가복지센터,충청남도 아산시 둔포면 둔포중앙로171번길  97 3층302호 (둔포면),041-531-9767,둔포면
아산시,방문목욕,행복드림재가노인복지센터,충청남도 아산시 배방읍 모산로  103 8층 (배방읍),041-549-8293,배방읍
아산시,방문요양,행복드림재가노인복지센터,충청남도 아산시 배방읍 모산로  103 8층 (배방읍),041-549-8293,배방읍
아산시,방문간호,우리동네 나이팅게일 재가복지센터,충청남도 아산시 온천대로  1526 201호 (온천동),041-427-6599,
아산시,방문목욕,우리동네 나이팅게일 재가복지센터,충청남도 아산시 온천대로  1526 201호 (온천동),041-427-6599,
아산시,방문요양,우리동네 나이팅게일 재가복지센터,충청남도 아산시 온천대로  1526 201호 (온천동),041-427-6599,
아산시,방문목욕,인주방문요양센터,충청남도 아산시 인주면 걸매길  209-11 (인주면),041-534-2033,인주면
아산시,방문요양,인주방문요양센터,충청남도 아산시 인주면 걸매길  209-11 (인주면),041-534-2033,인주면
아산시,방문요양,희망나눔재가복지센터,충청남도 아산시 신창면 서부북로  628 (신창면),041-542-2004,신창면
아산시,방문요양,우리재가복지센터,충청남도 아산시 방축로  23 3호 (방축동),041-548-6668,
아산시,방문목욕,해바라기재가돌봄센터,"충청남도 아산시 어의정로  46 (용화동, 온천마을아파트 118동 B04호)",041-545-9112,118동
아산시,방문요양,해바라기재가돌봄센터,"충청남도 아산시 어의정로  46 (용화동, 온천마을아파트 118동 B04호)",041-545-9112,118동
아산시,방문목욕,보람재가복지센터,"충청남도 아산시 문화로  33-10 (실옥동, 벽산아파트 상가동 2층 202호)",041-427-5605,상가동
아산시,방문요양,보람재가복지센터,"충청남도 아산시 문화로  33-10 (실옥동, 벽산아파트 상가동 2층 202호)",041-427-5605,상가동
아산시,방문목욕,디딤돌노인복지센터,"충청남도 아산시 시민로208번길  21 (용화동, 1층)",041-549-5997,
아산시,방문요양,디딤돌노인복지센터,"충청남도 아산시 시민로208번길  21 (용화동, 1층)",041-549-5997,
아산시,방문목욕,아산방문목욕,충청남도 아산시 충무로  49 405호 (온천동),041-549-0010,
아산시,방문요양,미소주야간보호센터,충청남도 아산시 온천시문2로  4 1~2층 (온천동),041-545-2306,
아산시,방문목욕,도토리재가방문요양센터,충청남도 아산시 배방읍 모산로  22-2 101호 (배방읍),041-541-9191,배방읍
아산시,방문요양,도토리재가방문요양센터,충청남도 아산시 배방읍 모산로  22-2 101호 (배방읍),041-541-9191,배방읍
아산시,방문요양,요엘재가복지센터,충청남도 아산시 번영로  228 402호 (모종동),041-542-0307,
아산시,방문요양,즐거운재가복지센터,"충청남도 아산시 아산로  78 (온천동, 301-1호)",041-542-9630,
아산시,주야간보호,아산노인복지센터,충청남도 아산시 도고면 도고면로147번길  15 (도고면),041-544-7775,도고면
아산시,주야간보호,나눔케어,충청남도 아산시 청운로84번길  15 2층 (온천동),041-544-4328,
아산시,주야간보호,아산설화주간보호센터,충청남도 아산시 송악면 외암로1166번길  31-6 (송악면),041-534-3313,송악면
아산시,주야간보호,온양정애요양원 병설 정애노인복지센터,충청남도 아산시 청운로112번길  23-5 (온천동),041-532-9054,
아산시,주야간보호,요셉재가노인복지센터,충청남도 아산시 염치읍 방현동길  92-91 (염치읍),041-547-3427,염치읍
아산시,주야간보호,배방 효담실버케어스,충청남도 아산시 배방읍 배방로229번길  30-17 (배방읍),041-543-3001,배방읍
아산시,주야간보호,행복노인복지센터,충청남도 아산시 둔포면 충무로  1299 (둔포면),041-544-6691,둔포면
아산시,주야간보호,아산충무노인주간보호센터,"충청남도 아산시 시민로  294 4층402호 (용화동, 광염빌딩)",041-532-3600,
아산시,주야간보호,우리집주간보호센터,충청남도 아산시 시민로  225-9 (용화동),041-545-4670,
아산시,주야간보호,돌봄나래노인재가복지센터,충청남도 아산시 온주길16번길  20 (읍내동),041-542-7100,
아산시,주야간보호,배방한가족 노인주간보호센터,충청남도 아산시 배방읍 모산로139번길  16 4층 (배방읍),041-546-0818,배방읍
아산시,주야간보호,아산실버주간보호센터,충청남도 아산시 무궁화로  11-6 (신인동),041-541-8300,
아산시,주야간보호,실버스쿨노인복지센터,충청남도 아산시 탕정면 탕정면로  141-1 3층 (탕정면),041-541-9888,탕정면
아산시,주야간보호,아산충무노인주간보호센터(실옥점),충청남도 아산시 실옥로 74 (실옥동),041-545-3602,
아산시,주야간보호,함께해요 주야간보호센터,충청남도 아산시 염치읍 방현서길36번길  11-5 (염치읍),041-425-2338,염치읍
아산시,주야간보호,3대가협동조합 예비사회적기업 아산사랑주야돌봄센터,충청남도 아산시 영인면 영인로  14-7 (영인면),041-545-2335,영인면
아산시,주야간보호,아산늘봄실버케어주간보호센터,충청남도 아산시 음봉면 산동안길  53-1 (음봉면),041-533-1420,음봉면
아산시,주야간보호,새순노인주간보호센터,"충청남도 아산시 도고면 온천대로  364 (도고면, 1층)",041-547-1324,도고면
아산시,주야간보호,금빛재가주간보호센터,충청남도 아산시 고불로  663 (좌부동),041-548-0777,
아산시,주야간보호,미소주야간보호센터,충청남도 아산시 온천시문2로  4 1~2층 (온천동),041-545-2306,
아산시,재가노인지원서비스,성공회은혜노인복지센터,충청남도 아산시 충무로 20번길 20(온천동),041-543-2731,
아산시,재가노인지원서비스,한울타리노인복지센터,충청남도 아산시 남산로 10,041-544-1407,
아산시,재가노인지원서비스,아산노인복지센터,충청남도 아산시 도고면 도고면로147번길  15 (도고면),041-544-7775,도고면
