읍면동,연도,인구수,출처
도고면,2015,4756.0,인구총조사
도고면,2015,4756.0,주민등록
도고면,2020,4578.0,인구총조사
도고면,2020,4578.0,주민등록
도고면,2023,4428.0,주민등록
도고면,2024,4533.0,주민등록
둔포면,2015,13592.0,인구총조사
둔포면,2015,13592.0,주민등록
둔포면,2020,27006.0,인구총조사
둔포면,2020,27006.0,주민등록
둔포면,2023,30326.0,주민등록
둔포면,2024,32129.0,주민등록
배방읍,2015,68783.0,인구총조사
배방읍,2015,68783.0,주민등록
배방읍,2020,76130.0,인구총조사
배방읍,2020,76130.0,주민등록
배방읍,2023,86956.0,주민등록
배방읍,2024,92653.0,주민등록
선장면,2015,3753.0,인구총조사
선장면,2015,3753.0,주민등록
선장면,2020,3408.0,인구총조사
선장면,2020,3408.0,주민등록
선장면,2023,3181.0,주민등록
선장면,2024,3159.0,주민등록
송악면,2015,4140.0,인구총조사
송악면,2015,4140.0,주민등록
송악면,2020,4045.0,인구총조사
송악면,2020,4045.0,주민등록
송악면,2023,3950.0,주민등록
송악면,2024,3860.0,주민등록
신창면,2015,30346.0,인구총조사
신창면,2015,30346.0,주민등록
신창면,2020,28881.0,인구총조사
신창면,2020,28881.0,주민등록
신창면,2023,32158.0,주민등록
신창면,2024,35532.0,주민등록
염치읍,2015,7643.0,인구총조사
염치읍,2015,7643.0,주민등록
염치읍,2020,6521.0,인구총조사
염치읍,2020,6521.0,주민등록
염치읍,2023,6094.0,주민등록
염치읍,2024,5851.0,주민등록
영인면,2015,7009.0,인구총조사
영인면,2015,7009.0,주민등록
영인면,2020,6144.0,인구총조사
영인면,2020,6144.0,주민등록
영인면,2023,6025.0,주민등록
영인면,2024,6084.0,주민등록
온양1동,2015,6538.0,인구총조사
온양1동,2015,6538.0,주민등록
온양1동,2020,9849.0,인구총조사
온양1동,2020,9849.0,주민등록
온양1동,2023,9225.0,주민등록
온양1동,2024,10023.0,주민등록
온양2동,2015,8752.0,인구총조사
온양2동,2015,8752.0,주민등록
온양2동,2020,8251.0,인구총조사
온양2동,2020,8251.0,주민등록
온양2동,2023,12248.0,주민등록
온양2동,2024,11852.0,주민등록
온양3동,2015,32624.0,인구총조사
온양3동,2015,32624.0,주민등록
온양3동,2020,36835.0,인구총조사
온양3동,2020,36835.0,주민등록
온양3동,2023,39174.0,주민등록
온양3동,2024,38920.0,주민등록
온양4동,2015,20887.0,인구총조사
온양4동,2015,20887.0,주민등록
온양4동,2020,19911.0,인구총조사
온양4동,2020,19911.0,주민등록
온양4동,2023,19312.0,주민등록
온양4동,2024,18263.0,주민등록
온양5동,2015,27646.0,인구총조사
온양5동,2015,27646.0,주민등록
온양5동,2020,25970.0,인구총조사
온양5동,2020,25970.0,주민등록
온양5동,2023,20995.0,주민등록
온양5동,2024,21566.0,주민등록
온양6동,2015,25806.0,인구총조사
온양6동,2015,25806.0,주민등록
온양6동,2020,28817.0,인구총조사
온양6동,2020,28817.0,주민등록
온양6동,2023,26953.0,주민등록
온양6동,2024,26363.0,주민등록
음봉면,2015,17827.0,인구총조사
음봉면,2015,17827.0,주민등록
음봉면,2020,21423.0,인구총조사
음봉면,2020,21423.0,주민등록
음봉면,2023,21660.0,주민등록
음봉면,2024,25320.0,주민등록
인주면,2015,8406.0,인구총조사
인주면,2015,8406.0,주민등록
인주면,2020,7382.0,인구총조사
인주면,2020,7382.0,주민등록
인주면,2023,6583.0,주민등록
인주면,2024,6753.0,주민등록
탕정면,2015,31421.0,인구총조사
탕정면,2015,31421.0,주민등록
탕정면,2020,25367.0,인구총조사
탕정면,2020,25367.0,주민등록
탕정면,2023,47364.0,주민등록
탕정면,2024,49648.0,주민등록
