읍면동,연도,고령인구,총인구,고령화율
염치읍,2015,1581.0,7643.0,20.69
배방읍,2015,4158.0,68783.0,6.05
송악면,2015,1145.0,4140.0,27.66
탕정면,2015,1202.0,31421.0,3.83
음봉면,2015,1808.0,17827.0,10.14
둔포면,2015,2021.0,13592.0,14.87
영인면,2015,1828.0,7009.0,26.08
인주면,2015,1532.0,8406.0,18.23
선장면,2015,1273.0,3753.0,33.92
도고면,2015,1508.0,4756.0,31.71
신창면,2015,2847.0,30346.0,9.38
온양1동,2015,1141.0,6538.0,17.45
온양2동,2015,1328.0,8752.0,15.17
온양3동,2015,3036.0,32624.0,9.31
온양4동,2015,2042.0,20887.0,9.78
온양5동,2015,2249.0,27646.0,8.13
온양6동,2015,2570.0,25806.0,9.96
염치읍,2020,1674.0,6521.0,25.67
배방읍,2020,5907.0,76130.0,7.76
송악면,2020,1364.0,4045.0,33.72
탕정면,2020,1261.0,25367.0,4.97
음봉면,2020,2379.0,21423.0,11.1
둔포면,2020,2733.0,27006.0,10.12
영인면,2020,1925.0,6144.0,31.33
인주면,2020,1679.0,7382.0,22.74
선장면,2020,1323.0,3408.0,38.82
도고면,2020,1904.0,4578.0,41.59
신창면,2020,3477.0,28881.0,12.04
온양1동,2020,1581.0,9849.0,16.05
온양2동,2020,1820.0,8251.0,22.06
온양3동,2020,3877.0,36835.0,10.53
온양4동,2020,2569.0,19911.0,12.9
온양5동,2020,2856.0,25970.0,11.0
온양6동,2020,3371.0,28817.0,11.7
염치읍,2023,1825.0,6094.0,29.95
배방읍,2023,7802.0,86956.0,8.97
송악면,2023,1427.0,3950.0,36.13
탕정면,2023,1889.0,47364.0,3.99
음봉면,2023,2839.0,21660.0,13.11
둔포면,2023,3379.0,30326.0,11.14
영인면,2023,2084.0,6025.0,34.59
인주면,2023,1848.0,6583.0,28.07
선장면,2023,1381.0,3181.0,43.41
도고면,2023,1971.0,4428.0,44.51
신창면,2023,4067.0,32158.0,12.65
온양1동,2023,1701.0,9225.0,18.44
온양2동,2023,2653.0,12248.0,21.66
온양3동,2023,4873.0,39174.0,12.44
온양4동,2023,3094.0,19312.0,16.02
온양5동,2023,2788.0,20995.0,13.28
온양6동,2023,4045.0,26953.0,15.01
염치읍,2024,1871.0,5851.0,31.98
배방읍,2024,8735.0,92653.0,9.43
송악면,2024,1464.0,3860.0,37.93
탕정면,2024,2009.0,49648.0,4.05
음봉면,2024,3095.0,25320.0,12.22
둔포면,2024,3617.0,32129.0,11.26
영인면,2024,2157.0,6084.0,35.45
인주면,2024,1854.0,6753.0,27.45
선장면,2024,1375.0,3159.0,43.53
도고면,2024,2018.0,4533.0,44.52
신창면,2024,4516.0,35532.0,12.71
온양1동,2024,1840.0,10023.0,18.36
온양2동,2024,2802.0,11852.0,23.64
온양3동,2024,5192.0,38920.0,13.34
온양4동,2024,3266.0,18263.0,17.88
온양5동,2024,3054.0,21566.0,14.16
온양6동,2024,4183.0,26363.0,15.87
