연도,등급,성별,인원
2014,1등급,남자,32
2014,1등급,여자,103
2014,1등급,합계,135
2014,2등급,남자,86
2014,2등급,여자,301
2014,2등급,합계,387
2014,3등급,남자,203
2014,3등급,여자,486
2014,3등급,합계,689
2014,4등급,남자,139
2014,4등급,여자,371
2014,4등급,합계,510
2014,5등급,남자,8
2014,5등급,여자,45
2014,5등급,합계,53
2014,계,남자,627
2014,계,여자,1797
2014,계,합계,2424
2014,등급외,남자,159
2014,등급외,여자,491
2014,등급외,합계,650
2015,1등급,남자,35
2015,1등급,여자,114
2015,1등급,합계,149
2015,2등급,남자,104
2015,2등급,여자,300
2015,2등급,합계,404
2015,3등급,남자,215
2015,3등급,여자,515
2015,3등급,합계,730
2015,4등급,남자,176
2015,4등급,여자,448
2015,4등급,합계,624
2015,5등급,남자,26
2015,5등급,여자,67
2015,5등급,합계,93
2015,계,남자,710
2015,계,여자,1928
2015,계,합계,2638
2015,등급외,남자,154
2015,등급외,여자,484
2015,등급외,합계,638
2016,1등급,남자,37
2016,1등급,여자,128
2016,1등급,합계,165
2016,2등급,남자,106
2016,2등급,여자,307
2016,2등급,합계,413
2016,3등급,남자,229
2016,3등급,여자,554
2016,3등급,합계,783
2016,4등급,남자,186
2016,4등급,여자,521
2016,4등급,합계,707
2016,5등급,남자,30
2016,5등급,여자,118
2016,5등급,합계,148
2016,계,남자,745
2016,계,여자,2112
2016,계,합계,2857
2016,등급외,남자,157
2016,등급외,여자,484
2016,등급외,합계,641
2017,1등급,남자,40
2017,1등급,여자,143
2017,1등급,합계,183
2017,2등급,남자,106
2017,2등급,여자,330
2017,2등급,합계,436
2017,3등급,남자,211
2017,3등급,여자,572
2017,3등급,합계,783
2017,4등급,남자,244
2017,4등급,여자,732
2017,4등급,합계,976
2017,5등급,남자,66
2017,5등급,여자,187
2017,5등급,합계,253
2017,계,남자,849
2017,계,여자,2477
2017,계,합계,3326
2017,등급외,남자,182
2017,등급외,여자,513
2017,등급외,합계,695
2018,1등급,남자,46
2018,1등급,여자,147
2018,1등급,합계,193
2018,2등급,남자,115
2018,2등급,여자,348
2018,2등급,합계,463
2018,3등급,남자,239
2018,3등급,여자,602
2018,3등급,합계,841
2018,4등급,남자,296
2018,4등급,여자,868
2018,4등급,합계,1164
2018,5등급,남자,81
2018,5등급,여자,241
2018,5등급,합계,322
2018,계,남자,973
2018,계,여자,2714
2018,계,합계,3687
2018,등급외,남자,176
2018,등급외,여자,470
2018,등급외,합계,646
2018,인지지원등급,남자,20
2018,인지지원등급,여자,38
2018,인지지원등급,합계,58
2019,1등급,남자,50
2019,1등급,여자,139
2019,1등급,합계,189
2019,2등급,남자,117
2019,2등급,여자,354
2019,2등급,합계,471
2019,3등급,남자,291
2019,3등급,여자,760
2019,3등급,합계,1051
2019,4등급,남자,389
2019,4등급,여자,1049
2019,4등급,합계,1438
2019,5등급,남자,101
2019,5등급,여자,301
2019,5등급,합계,402
2019,계,남자,1130
2019,계,여자,3099
2019,계,합계,4229
2019,등급외,남자,158
2019,등급외,여자,425
2019,등급외,합계,583
2019,인지지원등급,남자,24
2019,인지지원등급,여자,71
2019,인지지원등급,합계,95
2020,1등급,남자,42
2020,1등급,여자,137
2020,1등급,합계,179
2020,2등급,남자,120
2020,2등급,여자,375
2020,2등급,합계,495
2020,3등급,남자,326
2020,3등급,여자,866
2020,3등급,합계,1192
2020,4등급,남자,435
2020,4등급,여자,1233
2020,4등급,합계,1668
2020,5등급,남자,114
2020,5등급,여자,356
2020,5등급,합계,470
2020,계,남자,1244
2020,계,여자,3457
2020,계,합계,4701
2020,등급외,남자,164
2020,등급외,여자,391
2020,등급외,합계,555
2020,인지지원등급,남자,43
2020,인지지원등급,여자,99
2020,인지지원등급,합계,142
2021,1등급,남자,52
2021,1등급,여자,170
2021,1등급,합계,222
2021,2등급,남자,134
2021,2등급,여자,381
2021,2등급,합계,515
2021,3등급,남자,343
2021,3등급,여자,978
2021,3등급,합계,1321
2021,4등급,남자,505
2021,4등급,여자,1389
2021,4등급,합계,1894
2021,5등급,남자,148
2021,5등급,여자,434
2021,5등급,합계,582
2021,계,남자,1432
2021,계,여자,3874
2021,계,합계,5306
2021,등급외,남자,190
2021,등급외,여자,396
2021,등급외,합계,586
2021,인지지원등급,남자,60
2021,인지지원등급,여자,126
2021,인지지원등급,합계,186
2022,1등급,남자,46
2022,1등급,여자,167
2022,1등급,합계,213
2022,2등급,남자,126
2022,2등급,여자,387
2022,2등급,합계,513
2022,3등급,남자,342
2022,3등급,여자,972
2022,3등급,합계,1314
2022,4등급,남자,539
2022,4등급,여자,1482
2022,4등급,합계,2021
2022,5등급,남자,204
2022,5등급,여자,481
2022,5등급,합계,685
2022,계,남자,1524
2022,계,여자,4065
2022,계,합계,5589
2022,등급외,남자,201
2022,등급외,여자,416
2022,등급외,합계,617
2022,인지지원등급,남자,66
2022,인지지원등급,여자,160
2022,인지지원등급,합계,226
2023,1등급,남자,50
2023,1등급,여자,208
2023,1등급,합계,258
2023,2등급,남자,130
2023,2등급,여자,388
2023,2등급,합계,518
2023,3등급,남자,374
2023,3등급,여자,1063
2023,3등급,합계,1437
2023,4등급,남자,562
2023,4등급,여자,1549
2023,4등급,합계,2111
2023,5등급,남자,270
2023,5등급,여자,550
2023,5등급,합계,820
2023,계,남자,1665
2023,계,여자,4405
2023,계,합계,6070
2023,등급외,남자,198
2023,등급외,여자,434
2023,등급외,합계,632
2023,인지지원등급,남자,81
2023,인지지원등급,여자,213
2023,인지지원등급,합계,294
2024,1등급,남자,51
2024,1등급,여자,213
2024,1등급,합계,264
2024,2등급,남자,115
2024,2등급,여자,390
2024,2등급,합계,505
2024,3등급,남자,426
2024,3등급,여자,1117
2024,3등급,합계,1543
2024,4등급,남자,651
2024,4등급,여자,1767
2024,4등급,합계,2418
2024,5등급,남자,298
2024,5등급,여자,641
2024,5등급,합계,939
2024,계,남자,1818
2024,계,여자,4728
2024,계,합계,6546
2024,등급외,남자,189
