연도,고령인구_추계,총인구_추계,고령화율_추계
2014,321282,2087600,15.39
2015,329517,2102811,15.67
2016,337515,2126174,15.87
2017,350083,2153380,16.26
2018,360007,2177105,16.54
2019,371384,2189132,16.96
2020,389496,2176641,17.89
2021,405832,2175014,18.66
2022,422303,2185996,19.32
2023,439910,2204306,19.96
2024,460300,2223801,20.7
2025,485982,2229051,21.8
2026,514418,2233847,23.03
2027,536203,2238820,23.95
2028,559693,2243868,24.94
2029,577175,2248859,25.67
2030,601332,2253655,26.68
2031,620104,2258170,27.46
2032,640779,2262324,28.32
2033,661727,2266059,29.2
2034,687118,2269269,30.28
2035,709263,2271887,31.22
2036,733457,2273941,32.25
2037,755644,2275392,33.21
2038,777702,2276109,34.17
2039,798853,2275980,35.1
2040,816694,2274956,35.9
2041,832640,2273053,36.63
2042,846024,2270318,37.26
2043,860000,2266742,37.94
2044,873798,2262279,38.62
2045,890111,2256841,39.44
2046,906018,2250222,40.26
2047,921093,2242396,41.08
2048,933111,2233333,41.78
2049,940405,2222998,42.3
2050,944539,2211343,42.71
2051,948192,2198493,43.13
2052,950256,2184426,43.5
