통계연월,통계시도명,통계시군구명,연령,수급자수
202312,서울특별시,종로구,0,6
202312,서울특별시,종로구,1,2
202312,서울특별시,종로구,2,3
202312,서울특별시,종로구,3,4
202312,서울특별시,종로구,4,5
202312,서울특별시,종로구,5,6
202312,서울특별시,종로구,6,7
202312,서울특별시,종로구,7,7
202312,서울특별시,종로구,8,14
202312,서울특별시,종로구,9,15
202312,서울특별시,종로구,10,6
202312,서울특별시,종로구,11,25
202312,서울특별시,종로구,12,27
202312,서울특별시,종로구,13,29
202312,서울특별시,종로구,14,32
202312,서울특별시,종로구,15,34
202312,서울특별시,종로구,16,33
202312,서울특별시,종로구,17,42
202312,서울특별시,종로구,18,33
202312,서울특별시,종로구,19,28
202312,서울특별시,종로구,20,25
202312,서울특별시,종로구,21,27
202312,서울특별시,종로구,22,21
202312,서울특별시,종로구,23,19
202312,서울특별시,종로구,24,12
202312,서울특별시,종로구,25,12
202312,서울특별시,종로구,26,24
202312,서울특별시,종로구,27,15
202312,서울특별시,종로구,28,14
202312,서울특별시,종로구,29,11
202312,서울특별시,종로구,30,11
202312,서울특별시,종로구,31,18
202312,서울특별시,종로구,32,26
202312,서울특별시,종로구,33,19
202312,서울특별시,종로구,34,19
202312,서울특별시,종로구,35,21
202312,서울특별시,종로구,36,15
202312,서울특별시,종로구,37,21
202312,서울특별시,종로구,38,24
202312,서울특별시,종로구,39,27
202312,서울특별시,종로구,40,21
202312,서울특별시,종로구,41,29
202312,서울특별시,종로구,42,28
202312,서울특별시,종로구,43,27
202312,서울특별시,종로구,44,36
202312,서울특별시,종로구,45,38
202312,서울특별시,종로구,46,40
202312,서울특별시,종로구,47,30
202312,서울특별시,종로구,48,45
202312,서울특별시,종로구,49,61
202312,서울특별시,종로구,50,71
202312,서울특별시,종로구,51,63
202312,서울특별시,종로구,52,75
202312,서울특별시,종로구,53,70
202312,서울특별시,종로구,54,86
202312,서울특별시,종로구,55,108
202312,서울특별시,종로구,56,93
202312,서울특별시,종로구,57,95
202312,서울특별시,종로구,58,149
202312,서울특별시,종로구,59,125
202312,서울특별시,종로구,60,115
202312,서울특별시,종로구,61,122
202312,서울특별시,종로구,62,154
202312,서울특별시,종로구,63,150
202312,서울특별시,종로구,64,131
202312,서울특별시,종로구,65,147
202312,서울특별시,종로구,66,162
202312,서울특별시,종로구,67,163
202312,서울특별시,종로구,68,187
202312,서울특별시,종로구,69,130
202312,서울특별시,종로구,70,112
202312,서울특별시,종로구,71,128
202312,서울특별시,종로구,72,115
202312,서울특별시,종로구,73,92
202312,서울특별시,종로구,74,96
202312,서울특별시,종로구,75,115
202312,서울특별시,종로구,76,100
202312,서울특별시,종로구,77,92
202312,서울특별시,종로구,78,95
202312,서울특별시,종로구,79,84
202312,서울특별시,종로구,80,96
202312,서울특별시,종로구,81,114
202312,서울특별시,종로구,82,84
202312,서울특별시,종로구,83,67
