"행정구역별(읍면동)",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택_계 (호),주택_단독주택 (호),주택_아파트 (호),주택_연립주택 (호),주택_다세대주택 (호),주택_비주거용 건물 내 주택 (호),주택 이외의 거처_계 (호),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택_계 (호),주택_단독주택 (호),주택_아파트 (호),주택_연립주택 (호),주택_다세대주택 (호),주택_비주거용 건물 내 주택 (호),주택 이외의 거처_계 (호)
"염치읍",7643,4052,3591,7287,3792,3495,356,260,96,2937,2854,8,75,2994,1481,1283,51,154,25,121,6521,3455,3066,6209,3224,2985,312,231,81,2789,2723,X,63,3017,1491,1283,51,163,29,159
"배방읍",68783,35132,33651,67730,34617,33113,1053,515,538,24902,24621,14,267,22211,2414,19184,68,436,109,268,76130,39045,37085,74608,38234,36374,1522,811,711,30687,30197,15,475,27480,2785,23904,213,462,116,1387
"송악면",4140,2134,2006,4075,2105,1970,65,29,36,1526,1510,X,12,1408,1362,X,X,16,30,57,4045,2043,2002,3983,2011,1972,62,32,30,1618,1606,X,9,1625,1585,X,X,16,24,63
"탕정면",31421,16520,14901,30547,16077,14470,874,443,431,8283,8134,18,131,7501,1434,5552,X,462,53,99,25367,13546,11821,24106,12999,11107,1261,547,714,7834,7684,14,136,8548,1588,6417,X,477,66,182
"음봉면",17827,10106,7721,16361,8975,7386,1466,1131,335,6273,6015,23,235,8626,1611,6865,34,77,39,284,21423,12028,9395,19860,10809,9051,1563,1219,344,8160,7826,21,313,9004,1775,6885,212,79,53,414
"둔포면",13592,8156,5436,10614,5847,4767,2978,2309,669,5240,4598,12,630,4394,1823,1846,149,487,89,325,27006,15861,11145,20824,11778,9046,6182,4083,2099,11903,9860,30,2013,9235,2631,5635,251,611,107,534
"영인면",7009,3972,3037,5954,3139,2815,1055,833,222,2567,2385,18,164,2079,1929,X,X,115,35,203,6144,3527,2617,5256,2779,2477,888,748,140,2506,2313,16,177,2208,2043,X,X,131,34,259
"인주면",8406,4825,3581,7459,4091,3368,947,734,213,3556,3366,9,181,3452,1271,1969,109,65,38,122,7382,4432,2950,6340,3586,2754,1042,846,196,3248,3011,17,220,3420,1235,1969,109,65,42,172
"선장면",3753,2056,1697,3274,1676,1598,479,380,99,1482,1426,7,49,1183,1171,X,X,X,12,62,3408,1948,1460,2886,1479,1407,522,469,53,1481,1400,8,73,1180,1165,X,X,X,15,110
"도고면",4756,2404,2352,4589,2303,2286,167,101,66,1993,1948,7,38,1796,1499,14,50,199,34,92,4578,2250,2328,4463,2183,2280,115,67,48,2001,1963,X,35,1845,1500,14,50,246,35,134
"신창면",30346,15934,14412,26924,13846,13078,3422,2088,1334,11094,9942,15,1137,10563,1576,8740,16,184,47,198,28881,15360,13521,21353,10970,10383,7528,4390,3138,12513,9898,24,2591,10684,1692,8740,16,184,52,266
"온양1동",6538,3429,3109,6144,3219,2925,394,210,184,2749,2539,8,202,2019,688,1008,28,148,147,239,9849,5112,4737,9237,4826,4411,612,286,326,4283,4032,6,245,3528,691,2454,76,151,156,202
"온양2동",8752,4377,4375,7910,3920,3990,842,457,385,3594,3174,X,417,2290,772,1104,177,182,55,78,8251,4147,4104,7002,3487,3515,1249,660,589,3681,3124,X,553,2550,759,1360,189,186,56,79
"온양3동",32624,16165,16459,31803,15779,16024,821,386,435,11546,11196,8,342,10558,1108,7655,176,1518,101,302,36835,18371,18464,35769,17883,17886,1066,488,578,13974,13562,X,410,12646,1067,9738,176,1550,115,240
"온양4동",20887,10841,10046,19888,10204,9684,999,637,362,7492,7224,6,262,7702,754,6415,291,207,35,107,19911,10241,9670,18300,9343,8957,1611,898,713,7845,7343,7,495,8446,761,7032,339,265,49,108
"온양5동",27646,14011,13635,26889,13637,13252,757,374,383,10448,10091,X,354,8135,1522,6003,218,341,51,62,25970,13307,12663,24400,12534,11866,1570,773,797,10672,10032,5,635,8304,1529,6098,234,361,82,95
"온양6동",25806,12706,13100,25268,12445,12823,538,261,277,9699,9578,7,114,10187,644,9346,64,103,30,82,28817,14185,14632,28236,13959,14277,581,226,355,11588,11438,X,146,12599,637,11738,64,132,28,109
