"행정구역별(읍면동)","연령별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"염치읍","합계","총인구(명)","","7643","","","","","6521","","","6094","5851",
"염치읍","합계","총인구_남자(명)","","4052","","","","","3455","","","3261","3165",
"염치읍","합계","총인구_여자(명)","","3591","","","","","3066","","","2833","2686",
"염치읍","합계","총인구_성비","","112.8","","","","","112.7","","","115.1","117.8",
"염치읍","합계","내국인(명)","","7287","","","","","6209","","","5737","5484",
"염치읍","합계","내국인_남자(명)","","3792","","","","","3224","","","2994","2880",
"염치읍","합계","내국인_여자(명)","","3495","","","","","2985","","","2743","2604",
"염치읍","합계","내국인_성비","","108.5","","","","","108","","","109.2","110.6",
"염치읍","0~4세","총인구(명)","","385","","","","","130","","","67","54",
"염치읍","0~4세","총인구_남자(명)","","213","","","","","59","","","32","27",
"염치읍","0~4세","총인구_여자(명)","","172","","","","","71","","","35","27",
"염치읍","0~4세","총인구_성비","","123.8","","","","","83.1","","","91.4","100",
"염치읍","0~4세","내국인(명)","","385","","","","","129","","","65","53",
"염치읍","0~4세","내국인_남자(명)","","213","","","","","58","","","31","27",
"염치읍","0~4세","내국인_여자(명)","","172","","","","","71","","","34","26",
"염치읍","0~4세","내국인_성비","","123.8","","","","","81.7","","","91.2","103.8",
"염치읍","5~9세","총인구(명)","","329","","","","","243","","","123","103",
"염치읍","5~9세","총인구_남자(명)","","155","","","","","130","","","63","52",
"염치읍","5~9세","총인구_여자(명)","","174","","","","","113","","","60","51",
"염치읍","5~9세","총인구_성비","","89.1","","","","","115","","","105","102",
"염치읍","5~9세","내국인(명)","","329","","","","","243","","","121","100",
"염치읍","5~9세","내국인_남자(명)","","155","","","","","130","","","62","50",
"염치읍","5~9세","내국인_여자(명)","","174","","","","","113","","","59","50",
"염치읍","5~9세","내국인_성비","","89.1","","","","","115","","","105.1","100",
"염치읍","10~14세","총인구(명)","","318","","","","","249","","","218","189",
"염치읍","10~14세","총인구_남자(명)","","175","","","","","125","","","118","101",
"염치읍","10~14세","총인구_여자(명)","","143","","","","","124","","","100","88",
"염치읍","10~14세","총인구_성비","","122.4","","","","","100.8","","","118","114.8",
"염치읍","10~14세","내국인(명)","","317","","","","","247","","","218","189",
"염치읍","10~14세","내국인_남자(명)","","175","","","","","124","","","118","101",
"염치읍","10~14세","내국인_여자(명)","","142","","","","","123","","","100","88",
"염치읍","10~14세","내국인_성비","","123.2","","","","","100.8","","","118","114.8",
"염치읍","15~19세","총인구(명)","","287","","","","","208","","","169","158",
"염치읍","15~19세","총인구_남자(명)","","148","","","","","107","","","80","75",
"염치읍","15~19세","총인구_여자(명)","","139","","","","","101","","","89","83",
"염치읍","15~19세","총인구_성비","","106.5","","","","","105.9","","","89.9","90.4",
"염치읍","15~19세","내국인(명)","","284","","","","","207","","","169","158",
"염치읍","15~19세","내국인_남자(명)","","148","","","","","107","","","80","75",
"염치읍","15~19세","내국인_여자(명)","","136","","","","","100","","","89","83",
"염치읍","15~19세","내국인_성비","","108.8","","","","","107","","","89.9","90.4",
"염치읍","20~24세","총인구(명)","","383","","","","","279","","","244","226",
"염치읍","20~24세","총인구_남자(명)","","235","","","","","165","","","139","141",
"염치읍","20~24세","총인구_여자(명)","","148","","","","","114","","","105","85",
"염치읍","20~24세","총인구_성비","","158.8","","","","","144.7","","","132.4","165.9",
"염치읍","20~24세","내국인(명)","","344","","","","","252","","","223","198",
"염치읍","20~24세","내국인_남자(명)","","207","","","","","146","","","126","119",
"염치읍","20~24세","내국인_여자(명)","","137","","","","","106","","","97","79",
"염치읍","20~24세","내국인_성비","","151.1","","","","","137.7","","","129.9","150.6",
"염치읍","25~29세","총인구(명)","","403","","","","","351","","","328","288",
"염치읍","25~29세","총인구_남자(명)","","242","","","","","244","","","226","197",
"염치읍","25~29세","총인구_여자(명)","","161","","","","","107","","","102","91",
"염치읍","25~29세","총인구_성비","","150.3","","","","","228","","","221.6","216.5",
"염치읍","25~29세","내국인(명)","","335","","","","","283","","","249","228",
"염치읍","25~29세","내국인_남자(명)","","189","","","","","181","","","159","147",
"염치읍","25~29세","내국인_여자(명)","","146","","","","","102","","","90","81",
"염치읍","25~29세","내국인_성비","","129.5","","","","","177.5","","","176.7","181.5",
"염치읍","30~34세","총인구(명)","","646","","","","","294","","","307","304",
