"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","계",2087600,2102811,2126174,2153380,2177105,2189132,2176641,2175014,2185996,2204306,2223801,2229051,2233847,2238820,2243868,2248859,2253655,2258170,2262324,2266059,2269269,2271887,2273941,2275392,2276109,2275980,2274956,2273053,2270318,2266742,2262279,2256841,2250222,2242396,2233333,2222998,2211343,2198493,2184426
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","0 - 4세",98885,98388,96671,93942,89922,85074,77960,71124,65086,60484,57252,54371,52413,51801,51924,52783,54188,55947,57511,58843,59925,60749,61339,61736,61820,61506,60863,59963,58847,57717,56723,55821,54959,54082,53132,52062,50847,49484,47987
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","5 - 9세",96922,97390,100018,101997,101817,101166,100270,97973,93966,89250,84694,78145,71338,65376,60659,56878,53981,51957,51252,51292,52117,53536,55316,56893,58234,59313,60140,60733,61138,61230,60919,60287,59393,58286,57166,56190,55307,54469,53616
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","10 - 14세",109870,102891,97176,95939,97559,97857,98940,101312,102654,101906,101645,101291,98890,94899,89915,84820,78294,71495,65576,60903,57109,54161,52080,51303,51271,52061,53480,55270,56851,58192,59273,60098,60691,61088,61180,60868,60227,59332,58221
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","15 - 19세",138950,137444,136297,131692,126260,121220,110232,103968,105190,103931,101463,101519,103242,104305,103367,102680,102289,99906,95927,90966,85870,79360,72585,66715,62107,58341,55383,53284,52448,52352,53116,54546,56358,57953,59304,60387,61217,61806,62206
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","20 - 24세",139208,142632,147461,147756,147773,145945,139136,135035,132220,131537,129655,120764,112494,108436,106380,104213,104552,106166,107119,106110,105448,105052,102769,99021,94313,89425,83200,76819,71381,67172,63671,60873,58840,57958,57818,58612,60087,61909,63467
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","25 - 29세",128911,127450,127638,131090,134366,136444,135374,134329,133270,134651,136319,136897,136242,132312,128109,123310,115199,108096,104844,103497,101725,102006,103506,104345,103259,102687,102465,100422,96997,92678,88252,82564,76638,71624,67755,64414,61691,59676,58731
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","30 - 34세",160240,154752,149260,144017,140258,138078,135086,132416,133301,137633,141454,143109,144993,144632,143499,142095,141733,140068,135379,130415,125128,117128,110122,106918,105790,104173,104380,105847,106686,105601,105066,104870,102872,99448,95066,90571,84773,78672,73538
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","35 - 39세",152392,155202,158956,165871,170607,169411,161086,153619,146177,141697,140553,139937,139212,140906,143684,146427,148502,150623,150211,148814,147024,146138,143953,138824,133329,127675,119603,112476,109208,108197,106655,106789,108270,109143,108053,107503,107293,105282,101774
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","40 - 44세",170107,169527,165535,162998,160845,158204,159659,162846,168393,171732,172035,165540,159089,151598,145405,142507,142142,141809,144026,147387,150538,152836,155075,154608,153028,150993,149797,147295,141866,136008,130110,121960,114705,111367,110438,108938,109006,110506,111411
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","45 - 49세",162124,162010,169235,173684,177806,176605,174601,170374,166446,163732,161925,164914,168684,174594,177476,176120,169480,162813,155105,148775,145884,145664,145581,148151,151932,155366,157811,160136,159625,157901,155688,154264,151532,145875,139733,133632,125390,117997,114578
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","50 - 54세",163867,165773,158485,159431,159390,169174,167748,174956,178722,182707,182174,181516,177500,173338,169763,166847,169555,173276,179133,181877,180428,173690,166846,158945,152485,149582,149478,149592,152460,156598,160287,162883,165314,164793,162963,160613,159013,156107,150264
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","55 - 59세",141140,148927,160606,167155,173043,171315,171937,163725,164487,164608,175349,175255,183067,187056,190761,189446,188422,183915,179274,175318,172047,174539,178295,184180,186892,185442,178634,171582,163464,156832,153888,153893,154207,157366,161871,165823,168596,171167,170669
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","60 - 64세",103547,110736,121123,127505,137206,146976,154780,167129,173363,180042,178514,179335,171745,172774,172545,182741,183071,190983,194996,198777,197383,196034,191091,186014,181715,178141,180506,184398,190419,193197,191768,184852,177548,169168,162330,159332,159439,159946,163411
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","65 - 69세",85733,90895,96480,100421,102404,104793,112640,122683,129281,139151,149749,158731,171680,177762,184050,182485,183136,175771,176919,176678,186725,187436,195353,199383,203178,201755,200166,194919,189566,185095,181393,183764,187827,193960,196757,195283,188248,180777,172280
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","70 - 74세",85480,83725,80321,79040,79348,83079,89237,94462,98516,100432,103187,111353,121737,128393,138353,148993,158066,170870,176885,183034,181585,182159,175162,176423,176266,186121,187170,195037,199089,202892,201540,199872,194579,189184,184728,181055,183448,187614,193782
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","75 - 79세",76114,75958,74760,78006,79828,78444,77517,74252,73246,73956,77560,83598,88539,92497,94609,97644,105813,115865,122522,132140,142373,151320,163693,169464,175352,174054,174757,168462,169907,170013,179560,180985,188667,192678,196419,195266,193645,188580,183420
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","80세이상",74110,79111,86152,92836,98673,105347,110438,114811,121678,126857,130273,132776,132982,138141,143369,148870,155232,158610,165645,171233,177960,190079,201175,212469,225138,239345,257123,276818,290366,305067,314370,328520,337822,348423,358620,372449,383116,395169,405071
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","80 - 84세",45567,49179,54064,57264,59468,62282,62895,62348,65422,67252,66186,65306,62881,62652,63901,67481,72841,76957,80655,82759,85777,93496,102566,108812,117515,126790,135269,146658,151884,157246,156133,157107,151957,153587,154101,162948,164727,171891,175722
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","85 - 89세",20233,21373,22853,25522,28166,30767,34133,37811,39941,41535,43879,44703,44774,47812,49762,49346,48816,46954,47351,48837,51853,56089,58993,62100,63977,66710,73377,80691,85964,92968,100432,107753,117218,121344,125607,124585,125738,122199,123888
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","90 - 94세",6825,6944,7490,8017,8559,9807,10837,11824,13272,14733,16344,18456,20566,22117,23364,24918,25518,25737,27874,29207,29064,28750,27536,28274,29634,31694,34374,35867,38010,39388,41388,46118,50812,54338,58810,63589,68723,75081,77524
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","95 - 99세",1330,1443,1547,1813,2234,2212,2237,2452,2625,2851,3395,3835,4241,4970,5654,6308,7142,7950,8573,9072,9741,10013,10154,11188,11780,11729,11581,11006,11604,12398,13352,14512,14958,16002,16689,17679,20010,22050,23640
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","계","100세 이상",155,172,198,220,246,279,336,376,418,486,469,476,520,590,688,817,915,1012,1192,1358,1525,1731,1926,2095,2232,2422,2522,2596,2904,3067,3065,3030,2877,3152,3413,3648,3918,3948,4297
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","남자","계",1067014,1075649,1087515,1103324,1117512,1124672,1117283,1116221,1123401,1136294,1149058,1153235,1157090,1160924,1164698,1168334,1171764,1174982,1177950,1180645,1182990,1184962,1186558,1187746,1188448,1188613,1188201,1187232,1185746,1183722,1181180,1178105,1174412,1170083,1165124,1159538,1153302,1146478,1139074
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","남자","0 - 4세",51047,50700,49542,47921,45946,43361,39765,36407,33280,30968,29373,27840,26694,26417,26486,26954,27669,28568,29366,30047,30601,31022,31324,31528,31571,31410,31081,30619,30050,29473,28965,28506,28066,27619,27133,26585,25965,25269,24503
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","남자","5 - 9세",50190,50325,51803,52778,52440,52101,51552,50132,48046,45770,43232,39962,36642,33533,31150,29217,27672,26509,26187,26207,26657,27378,28291,29099,29788,30342,30769,31075,31285,31331,31170,30844,30388,29822,29250,28749,28298,27867,27431
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","남자","10 - 14세",57217,53353,50336,49694,50491,50643,51145,52562,53206,52618,52527,52297,50893,48746,46258,43483,40214,36862,33750,31373,29421,27850,26658,26299,26279,26705,27425,28347,29159,29852,30411,30837,31145,31350,31396,31234,30905,30445,29873
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","남자","15 - 19세",72067,71852,70852,68587,65822,62992,57214,53645,54434,54237,53040,52769,53671,54171,53527,53197,52941,51556,49435,46947,44165,40910,37537,34430,32078,30120,28527,27334,26947,26883,27294,28021,28956,29783,30486,31050,31480,31789,32000
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","남자","20 - 24세",75034,76796,79328,79804,80511,79447,75452,72626,71138,70364,68916,64475,60507,58981,57892,56606,56513,57426,57897,57240,56908,56636,55312,53303,50867,48139,44965,41642,38646,36401,34480,32918,31760,31337,31232,31661,32425,33396,34232
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","남자","25 - 29세",71624,71034,71283,73989,76187,77762,77501,76988,76542,78532,79835,79513,78483,75583,72685,69806,65473,61678,60183,59287,58241,58195,59088,59491,58812,58520,58322,57130,55246,52917,50380,47372,44101,41222,39082,37178,35630,34463,33968
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","남자","30 - 34세",88122,85367,82184,79425,77647,76883,75241,73893,74900,78238,80835,82454,83878,83921,83661,82800,81986,80550,77418,74257,71116,66732,62896,61339,60547,59619,59554,60429,60817,60162,59863,59669,58518,56611,54216,51643,48546,45144,42222
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","남자","35 - 39세",82422,83990,86503,90362,92808,91795,87364,83238,79407,77607,77674,77830,77826,79198,81229,83176,84907,86358,86299,85735,84548,83487,81843,78569,75209,71891,67439,63517,61890,61147,60274,60183,61062,61456,60812,60495,60297,59150,57196
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","남자","40 - 44세",91453,91276,88656,87193,86343,85140,85610,87727,90768,92482,92735,89600,86271,82459,79392,78425,78689,78889,80544,82912,85082,86880,88342,88212,87449,86064,84854,83069,79682,76178,72736,68222,64211,62516,61811,60974,60853,61742,62148
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","남자","45 - 49세",85997,85782,89958,92599,95086,94790,93373,90721,88472,87122,86542,88180,90761,93926,95382,94604,91403,87952,84031,80895,79913,80244,80589,82446,85057,87383,89221,90701,90519,89604,88083,86763,84873,81394,77770,74228,69656,65564,63811
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","남자","50 - 54세",85823,87452,83710,84227,84082,89151,88329,92478,94863,97169,97179,96887,94344,92010,90285,89020,90487,93016,96124,97533,96753,93511,89961,85950,82753,81761,82150,82608,84630,87442,89903,91798,93313,93105,92076,90446,89044,87074,83521
