"행정구역","2022년01월_전체","2022년01월_남자","2022년01월_여자","2022년01월_65세이상전체","2022년01월_65세이상남자","2022년01월_65세이상여자","2022년02월_전체","2022년02월_남자","2022년02월_여자","2022년02월_65세이상전체","2022년02월_65세이상남자","2022년02월_65세이상여자","2022년03월_전체","2022년03월_남자","2022년03월_여자","2022년03월_65세이상전체","2022년03월_65세이상남자","2022년03월_65세이상여자","2022년04월_전체","2022년04월_남자","2022년04월_여자","2022년04월_65세이상전체","2022년04월_65세이상남자","2022년04월_65세이상여자","2022년05월_전체","2022년05월_남자","2022년05월_여자","2022년05월_65세이상전체","2022년05월_65세이상남자","2022년05월_65세이상여자","2022년06월_전체","2022년06월_남자","2022년06월_여자","2022년06월_65세이상전체","2022년06월_65세이상남자","2022년06월_65세이상여자","2022년07월_전체","2022년07월_남자","2022년07월_여자","2022년07월_65세이상전체","2022년07월_65세이상남자","2022년07월_65세이상여자","2022년08월_전체","2022년08월_남자","2022년08월_여자","2022년08월_65세이상전체","2022년08월_65세이상남자","2022년08월_65세이상여자","2022년09월_전체","2022년09월_남자","2022년09월_여자","2022년09월_65세이상전체","2022년09월_65세이상남자","2022년09월_65세이상여자","2022년10월_전체","2022년10월_남자","2022년10월_여자","2022년10월_65세이상전체","2022년10월_65세이상남자","2022년10월_65세이상여자","2022년11월_전체","2022년11월_남자","2022년11월_여자","2022년11월_65세이상전체","2022년11월_65세이상남자","2022년11월_65세이상여자","2022년12월_전체","2022년12월_남자","2022년12월_여자","2022년12월_65세이상전체","2022년12월_65세이상남자","2022년12월_65세이상여자","2023년01월_전체","2023년01월_남자","2023년01월_여자","2023년01월_65세이상전체","2023년01월_65세이상남자","2023년01월_65세이상여자","2023년02월_전체","2023년02월_남자","2023년02월_여자","2023년02월_65세이상전체","2023년02월_65세이상남자","2023년02월_65세이상여자","2023년03월_전체","2023년03월_남자","2023년03월_여자","2023년03월_65세이상전체","2023년03월_65세이상남자","2023년03월_65세이상여자","2023년04월_전체","2023년04월_남자","2023년04월_여자","2023년04월_65세이상전체","2023년04월_65세이상남자","2023년04월_65세이상여자","2023년05월_전체","2023년05월_남자","2023년05월_여자","2023년05월_65세이상전체","2023년05월_65세이상남자","2023년05월_65세이상여자","2023년06월_전체","2023년06월_남자","2023년06월_여자","2023년06월_65세이상전체","2023년06월_65세이상남자","2023년06월_65세이상여자","2023년07월_전체","2023년07월_남자","2023년07월_여자","2023년07월_65세이상전체","2023년07월_65세이상남자","2023년07월_65세이상여자","2023년08월_전체","2023년08월_남자","2023년08월_여자","2023년08월_65세이상전체","2023년08월_65세이상남자","2023년08월_65세이상여자","2023년09월_전체","2023년09월_남자","2023년09월_여자","2023년09월_65세이상전체","2023년09월_65세이상남자","2023년09월_65세이상여자","2023년10월_전체","2023년10월_남자","2023년10월_여자","2023년10월_65세이상전체","2023년10월_65세이상남자","2023년10월_65세이상여자","2023년11월_전체","2023년11월_남자","2023년11월_여자","2023년11월_65세이상전체","2023년11월_65세이상남자","2023년11월_65세이상여자","2023년12월_전체","2023년12월_남자","2023년12월_여자","2023년12월_65세이상전체","2023년12월_65세이상남자","2023년12월_65세이상여자","2024년01월_전체","2024년01월_남자","2024년01월_여자","2024년01월_65세이상전체","2024년01월_65세이상남자","2024년01월_65세이상여자","2024년02월_전체","2024년02월_남자","2024년02월_여자","2024년02월_65세이상전체","2024년02월_65세이상남자","2024년02월_65세이상여자","2024년03월_전체","2024년03월_남자","2024년03월_여자","2024년03월_65세이상전체","2024년03월_65세이상남자","2024년03월_65세이상여자","2024년04월_전체","2024년04월_남자","2024년04월_여자","2024년04월_65세이상전체","2024년04월_65세이상남자","2024년04월_65세이상여자","2024년05월_전체","2024년05월_남자","2024년05월_여자","2024년05월_65세이상전체","2024년05월_65세이상남자","2024년05월_65세이상여자","2024년06월_전체","2024년06월_남자","2024년06월_여자","2024년06월_65세이상전체","2024년06월_65세이상남자","2024년06월_65세이상여자","2024년07월_전체","2024년07월_남자","2024년07월_여자","2024년07월_65세이상전체","2024년07월_65세이상남자","2024년07월_65세이상여자","2024년08월_전체","2024년08월_남자","2024년08월_여자","2024년08월_65세이상전체","2024년08월_65세이상남자","2024년08월_65세이상여자","2024년09월_전체","2024년09월_남자","2024년09월_여자","2024년09월_65세이상전체","2024년09월_65세이상남자","2024년09월_65세이상여자","2024년10월_전체","2024년10월_남자","2024년10월_여자","2024년10월_65세이상전체","2024년10월_65세이상남자","2024년10월_65세이상여자","2024년11월_전체","2024년11월_남자","2024년11월_여자","2024년11월_65세이상전체","2024년11월_65세이상남자","2024년11월_65세이상여자","2024년12월_전체","2024년12월_남자","2024년12월_여자","2024년12월_65세이상전체","2024년12월_65세이상남자","2024년12월_65세이상여자"
"충청남도 아산시 (4420000000)","325,412","169,380","156,032","44,807","19,402","25,405","327,717","170,587","157,130","45,084","19,541","25,543","328,576","171,025","157,551","45,338","19,664","25,674","329,043","171,323","157,720","45,458","19,732","25,726","329,684","171,704","157,980","45,640","19,827","25,813","330,516","172,160","158,356","45,777","19,885","25,892","331,190","172,507","158,683","45,933","19,960","25,973","331,806","172,844","158,962","46,126","20,054","26,072","332,361","173,123","159,238","46,312","20,152","26,160","332,790","173,385","159,405","46,513","20,271","26,242","333,602","173,842","159,760","46,760","20,402","26,358","334,539","174,333","160,206","47,012","20,529","26,483","336,098","175,146","160,952","47,243","20,655","26,588","336,748","175,505","161,243","47,401","20,764","26,637","336,690","175,484","161,206","47,619","20,869","26,750","336,871","175,601","161,270","47,787","20,959","26,828","337,007","175,693","161,314","48,009","21,062","26,947","336,998","175,703","161,295","48,115","21,131","26,984","337,876","176,171","161,705","48,247","21,193","27,054","339,517","176,946","162,571","48,484","21,300","27,184","340,566","177,492","163,074","48,698","21,429","27,269","341,953","178,180","163,773","49,011","21,583","27,428","343,978","179,225","164,753","49,278","21,705","27,573","345,796","180,223","165,573","49,677","21,919","27,758","347,243","181,007","166,236","49,940","22,056","27,884","348,532","181,718","166,814","50,198","22,182","28,016","349,588","182,327","167,261","50,579","22,379","28,200","350,535","182,823","167,712","50,866","22,531","28,335","351,131","183,147","167,984","51,067","22,653","28,414","351,686","183,425","168,261","51,279","22,763","28,516","352,428","183,811","168,617","51,503","22,868","28,635","352,996","184,103","168,893","51,714","22,999","28,715","353,603","184,366","169,237","51,954","23,116","28,838","354,170","184,618","169,552","52,265","23,268","28,997","354,507","184,831","169,676","52,520","23,413","29,107","355,014","185,092","169,922","52,923","23,615","29,308"
"충청남도 아산시 염치읍(4420025000)","6,422","3,388","3,034","1,832","801","1,031","6,403","3,383","3,020","1,843","810","1,033","6,377","3,365","3,012","1,852","817","1,035","6,373","3,363","3,010","1,863","823","1,040","6,364","3,355","3,009","1,862","822","1,040","6,338","3,341","2,997","1,866","821","1,045","6,321","3,327","2,994","1,878","822","1,056","6,291","3,316","2,975","1,885","827","1,058","6,261","3,306","2,955","1,883","828","1,055","6,255","3,297","2,958","1,888","832","1,056","6,204","3,268","2,936","1,874","826","1,048","6,180","3,249","2,931","1,872","819","1,053","6,172","3,242","2,930","1,868","819","1,049","6,175","3,247","2,928","1,870","824","1,046","6,185","3,248","2,937","1,884","826","1,058","6,180","3,244","2,936","1,888","829","1,059","6,182","3,244","2,938","1,906","839","1,067","6,188","3,250","2,938","1,904","842","1,062","6,162","3,227","2,935","1,895","835","1,060","6,120","3,202","2,918","1,898","836","1,062","6,089","3,197","2,892","1,896","840","1,056","6,061","3,173","2,888","1,904","844","1,060","6,083","3,187","2,896","1,900","840","1,060","6,051","3,172","2,879","1,908","844","1,064","6,033","3,165","2,868","1,919","849","1,070","5,999","3,147","2,852","1,917","848","1,069","5,953","3,131","2,822","1,921","854","1,067","5,937","3,118","2,819","1,928","858","1,070","5,914","3,112","2,802","1,933","863","1,070","5,893","3,103","2,790","1,933","864","1,069","5,870","3,098","2,772","1,943","870","1,073","5,850","3,089","2,761","1,950","875","1,075","5,813","3,064","2,749","1,956","880","1,076","5,800","3,058","2,742","1,955","883","1,072","5,790","3,061","2,729","1,958","888","1,070","5,792","3,064","2,728","1,974","896","1,078"
"충청남도 아산시 배방읍(4420025300)","81,771","41,998","39,773","6,735","2,939","3,796","82,226","42,232","39,994","6,795","2,968","3,827","82,550","42,414","40,136","6,856","2,999","3,857","82,799","42,562","40,237","6,879","3,003","3,876","82,920","42,632","40,288","6,937","3,024","3,913","83,025","42,692","40,333","6,977","3,044","3,933","83,381","42,891","40,490","7,027","3,066","3,961","83,988","43,203","40,785","7,060","3,084","3,976","84,483","43,494","40,989","7,111","3,109","4,002","84,877","43,714","41,163","7,161","3,133","4,028","85,587","44,079","41,508","7,350","3,223","4,127","85,708","44,148","41,560","7,450","3,268","4,182","85,698","44,172","41,526","7,463","3,278","4,185","85,598","44,117","41,481","7,498","3,294","4,204","85,565","44,080","41,485","7,536","3,319","4,217","85,679","44,131","41,548","7,577","3,339","4,238","85,757","44,162","41,595","7,629","3,359","4,270","85,764","44,128","41,636","7,648","3,373","4,275","85,439","43,971","41,468","7,659","3,378","4,281","84,607","43,540","41,067","7,693","3,398","4,295","84,367","43,413","40,954","7,753","3,420","4,333","84,516","43,497","41,019","7,800","3,436","4,364","85,448","43,974","41,474","7,906","3,484","4,422","86,711","44,663","42,048","8,081","3,572","4,509","87,484","45,094","42,390","8,144","3,614","4,530","87,726","45,217","42,509","8,194","3,629","4,565","87,890","45,324","42,566","8,257","3,668","4,589","87,947","45,390","42,557","8,319","3,701","4,618","88,036","45,425","42,611","8,387","3,741","4,646","88,092","45,448","42,644","8,437","3,768","4,669","88,435","45,653","42,782","8,479","3,791","4,688","88,807","45,816","42,991","8,515","3,805","4,710","89,480","46,161","43,319","8,561","3,825","4,736","89,930","46,399","43,531","8,646","3,863","4,783","90,131","46,517","43,614","8,679","3,881","4,798","90,338","46,632","43,706","8,753","3,897","4,856"
"충청남도 아산시 송악면(4420031000)","4,184","2,139","2,045","1,353","601","752","4,171","2,132","2,039","1,361","606","755","4,180","2,148","2,032","1,362","608","754","4,192","2,161","2,031","1,366","610","756","4,212","2,170","2,042","1,374","614","760","4,214","2,167","2,047","1,375","614","761","4,199","2,158","2,041","1,371","615","756","4,183","2,153","2,030","1,361","611","750","4,184","2,155","2,029","1,370","615","755","4,192","2,160","2,032","1,373","616","757","4,175","2,147","2,028","1,372","613","759","4,150","2,136","2,014","1,376","622","754","4,149","2,136","2,013","1,375","622","753","4,161","2,145","2,016","1,381","630","751","4,142","2,132","2,010","1,382","632","750","4,143","2,127","2,016","1,384","632","752","4,118","2,115","2,003","1,385","631","754","4,110","2,115","1,995","1,385","631","754","4,104","2,116","1,988","1,395","635","760","4,102","2,115","1,987","1,401","637","764","4,088","2,111","1,977","1,401","638","763","4,078","2,103","1,975","1,410","641","769","4,079","2,102","1,977","1,412","641","771","4,089","2,110","1,979","1,416","646","770","4,059","2,092","1,967","1,412","645","767","4,050","2,092","1,958","1,410","645","765","4,044","2,098","1,946","1,417","654","763","4,028","2,089","1,939","1,425","660","765","4,029","2,091","1,938","1,428","665","763","4,035","2,088","1,947","1,436","669","767","4,000","2,062","1,938","1,439","669","770","4,002","2,067","1,935","1,448","676","772","3,993","2,065","1,928","1,453","681","772","4,000","2,070","1,930","1,463","685","778","4,011","2,074","1,937","1,464","686","778","3,995","2,071","1,924","1,467","689","778"
"충청남도 아산시 탕정면(4420033000)","25,993","14,033","11,960","1,527","652","875","28,392","15,233","13,159","1,566","666","900","28,973","15,536","13,437","1,579","678","901","29,136","15,627","13,509","1,580","682","898","29,679","15,912","13,767","1,590","689","901","30,721","16,467","14,254","1,612","698","914","31,204","16,694","14,510","1,621","711","910","31,528","16,851","14,677","1,635","719","916","31,702","16,942","14,760","1,642","724","918","31,873","17,031","14,842","1,662","734","928","32,070","17,153","14,917","1,658","731","927","33,185","17,729","15,456","1,694","746","948","35,163","18,749","16,414","1,746","767","979","36,282","19,304","16,978","1,749","771","978","36,586","19,467","17,119","1,770","773","997","36,794","19,588","17,206","1,787","783","1,004","36,985","19,684","17,301","1,792","786","1,006","37,059","19,704","17,355","1,802","793","1,009","38,765","20,609","18,156","1,815","804","1,011","42,373","22,445","19,928","1,862","827","1,035","43,654","23,116","20,538","1,893","846","1,047","44,254","23,408","20,846","1,915","854","1,061","44,690","23,620","21,070","1,947","867","1,080","45,009","23,766","21,243","1,965","876","1,089","45,112","23,811","21,301","1,961","873","1,088","45,301","23,906","21,395","1,975","879","1,096","45,479","24,020","21,459","1,984","880","1,104","45,635","24,113","21,522","1,999","884","1,115","45,752","24,189","21,563","2,001","887","1,114","45,872","24,234","21,638","2,005","887","1,118","45,994","24,288","21,706","2,010","890","1,120","46,073","24,314","21,759","2,013","896","1,117","46,067","24,310","21,757","2,023","907","1,116","46,076","24,295","21,781","2,038","923","1,115","46,133","24,332","21,801","2,042","925","1,117","46,251","24,395","21,856","2,064","936","1,128"
"충청남도 아산시 음봉면(4420035000)","20,404","11,074","9,330","2,644","1,189","1,455","20,338","11,044","9,294","2,665","1,196","1,469","20,343","11,043","9,300","2,689","1,209","1,480","20,329","11,044","9,285","2,693","1,212","1,481","20,341","11,044","9,297","2,716","1,221","1,495","20,302","11,030","9,272","2,702","1,217","1,485","20,304","11,044","9,260","2,710","1,222","1,488","20,260","11,039","9,221","2,714","1,222","1,492","20,286","11,042","9,244","2,740","1,237","1,503","20,235","11,021","9,214","2,749","1,244","1,505","20,203","10,992","9,211","2,770","1,257","1,513","20,207","10,994","9,213","2,780","1,263","1,517","20,208","10,988","9,220","2,803","1,275","1,528","20,182","10,997","9,185","2,815","1,282","1,533","20,160","10,992","9,168","2,830","1,294","1,536","20,173","11,004","9,169","2,840","1,301","1,539","20,189","11,010","9,179","2,857","1,309","1,548","20,160","10,995","9,165","2,856","1,309","1,547","20,136","10,976","9,160","2,866","1,312","1,554","19,938","10,874","9,064","2,879","1,316","1,563","19,888","10,853","9,035","2,889","1,325","1,564","20,202","11,039","9,163","2,911","1,340","1,571","20,461","11,176","9,285","2,922","1,347","1,575","20,657","11,284","9,373","2,928","1,353","1,575","21,319","11,633","9,686","2,962","1,373","1,589","21,975","12,012","9,963","2,986","1,394","1,592","22,261","12,176","10,085","3,003","1,413","1,590","22,438","12,249","10,189","3,011","1,409","1,602","22,618","12,338","10,280","3,025","1,411","1,614","22,795","12,438","10,357","3,038","1,423","1,615","22,888","12,476","10,412","3,060","1,427","1,633","22,928","12,494","10,434","3,075","1,436","1,639","22,958","12,500","10,458","3,098","1,446","1,652","22,964","12,501","10,463","3,129","1,468","1,661","23,004","12,520","10,484","3,147","1,480","1,667","23,095","12,579","10,516","3,182","1,500","1,682"
"충청남도 아산시 둔포면(4420036000)","22,673","12,803","9,870","2,977","1,352","1,625","22,731","12,842","9,889","3,001","1,360","1,641","22,743","12,850","9,893","3,022","1,373","1,649","22,801","12,880","9,921","3,036","1,382","1,654","22,838","12,927","9,911","3,036","1,382","1,654","22,818","12,921","9,897","3,054","1,386","1,668","22,868","12,950","9,918","3,064","1,393","1,671","22,885","12,980","9,905","3,074","1,398","1,676","22,894","12,976","9,918","3,082","1,392","1,690","22,921","13,002","9,919","3,084","1,400","1,684","22,914","13,001","9,913","3,087","1,401","1,686","22,890","12,980","9,910","3,090","1,399","1,691","22,896","12,984","9,912","3,095","1,408","1,687","22,889","12,988","9,901","3,117","1,418","1,699","22,878","12,989","9,889","3,117","1,416","1,701","22,860","12,982","9,878","3,124","1,418","1,706","22,878","12,990","9,888","3,150","1,428","1,722","22,896","13,004","9,892","3,160","1,431","1,729","22,846","12,989","9,857","3,168","1,433","1,735","22,747","12,921","9,826","3,184","1,444","1,740","22,713","12,904","9,809","3,202","1,456","1,746","22,773","12,925","9,848","3,226","1,470","1,756","23,120","13,116","10,004","3,251","1,478","1,773","23,285","13,199","10,086","3,263","1,490","1,773","23,386","13,240","10,146","3,293","1,509","1,784","23,515","13,320","10,195","3,310","1,518","1,792","23,552","13,333","10,219","3,334","1,531","1,803","23,667","13,403","10,264","3,356","1,546","1,810","23,691","13,410","10,281","3,364","1,550","1,814","23,674","13,405","10,269","3,382","1,560","1,822","23,702","13,422","10,280","3,401","1,574","1,827","23,722","13,438","10,284","3,409","1,578","1,831","23,697","13,422","10,275","3,428","1,593","1,835","23,720","13,422","10,298","3,458","1,605","1,853","23,692","13,407","10,285","3,487","1,621","1,866","23,696","13,407","10,289","3,514","1,641","1,873"
"충청남도 아산시 영인면(4420037000)","5,507","2,901","2,606","2,067","907","1,160","5,514","2,904","2,610","2,075","910","1,165","5,514","2,900","2,614","2,081","915","1,166","5,497","2,896","2,601","2,083","913","1,170","5,467","2,880","2,587","2,087","918","1,169","5,451","2,873","2,578","2,085","917","1,168","5,450","2,870","2,580","2,088","919","1,169","5,454","2,872","2,582","2,085","921","1,164","5,427","2,860","2,567","2,089","926","1,163","5,421","2,859","2,562","2,095","931","1,164","5,412","2,865","2,547","2,092","932","1,160","5,395","2,854","2,541","2,096","935","1,161","5,376","2,847","2,529","2,107","942","1,165","5,376","2,845","2,531","2,116","948","1,168","5,401","2,863","2,538","2,128","961","1,167","5,404","2,865","2,539","2,136","964","1,172","5,398","2,859","2,539","2,144","967","1,177","5,399","2,861","2,538","2,153","973","1,180","5,398","2,861","2,537","2,159","976","1,183","5,404","2,861","2,543","2,170","980","1,190","5,397","2,853","2,544","2,177","984","1,193","5,384","2,848","2,536","2,179","988","1,191","5,377","2,844","2,533","2,180","983","1,197","5,384","2,846","2,538","2,194","990","1,204","5,371","2,841","2,530","2,206","996","1,210","5,358","2,827","2,531","2,207","994","1,213","5,335","2,825","2,510","2,211","1,005","1,206","5,335","2,827","2,508","2,219","1,010","1,209","5,319","2,823","2,496","2,218","1,012","1,206","5,318","2,826","2,492","2,225","1,021","1,204","5,306","2,818","2,488","2,230","1,022","1,208","5,323","2,838","2,485","2,236","1,029","1,207","5,308","2,826","2,482","2,241","1,029","1,212","5,288","2,812","2,476","2,246","1,032","1,214","5,272","2,796","2,476","2,248","1,032","1,216","5,248","2,783","2,465","2,251","1,031","1,220"
"충청남도 아산시 인주면(4420038000)","6,188","3,449","2,739","1,785","782","1,003","6,173","3,442","2,731","1,789","785","1,004","6,139","3,421","2,718","1,783","782","1,001","6,134","3,423","2,711","1,783","785","998","6,134","3,425","2,709","1,793","792","1,001","6,109","3,409","2,700","1,794","794","1,000","6,103","3,412","2,691","1,800","804","996","6,089","3,413","2,676","1,800","806","994","6,064","3,403","2,661","1,806","806","1,000","6,033","3,391","2,642","1,818","814","1,004","6,018","3,396","2,622","1,812","814","998","5,997","3,388","2,609","1,810","819","991","5,971","3,365","2,606","1,824","825","999","5,983","3,377","2,606","1,831","829","1,002","5,966","3,369","2,597","1,833","829","1,004","5,956","3,370","2,586","1,839","839","1,000","5,955","3,370","2,585","1,853","846","1,007","5,969","3,383","2,586","1,853","847","1,006","5,958","3,373","2,585","1,851","842","1,009","5,925","3,346","2,579","1,864","843","1,021","5,886","3,327","2,559","1,861","842","1,019","5,868","3,311","2,557","1,868","842","1,026","5,823","3,287","2,536","1,876","846","1,030","5,795","3,270","2,525","1,879","848","1,031","5,784","3,258","2,526","1,885","846","1,039","5,745","3,245","2,500","1,888","846","1,042","5,731","3,243","2,488","1,901","856","1,045","5,727","3,244","2,483","1,895","855","1,040","5,724","3,243","2,481","1,892","853","1,039","5,716","3,237","2,479","1,886","850","1,036","5,682","3,210","2,472","1,892","855","1,037","5,660","3,203","2,457","1,895","858","1,037","5,664","3,208","2,456","1,904","862","1,042","5,657","3,205","2,452","1,901","864","1,037","5,653","3,200","2,453","1,915","870","1,045","5,653","3,197","2,456","1,928","874","1,054"
"충청남도 아산시 선장면(4420039000)","3,044","1,563","1,481","1,420","635","785","3,037","1,561","1,476","1,422","636","786","3,035","1,564","1,471","1,425","634","791","3,025","1,560","1,465","1,425","635","790","3,025","1,561","1,464","1,426","634","792","3,026","1,562","1,464","1,426","636","790","3,030","1,567","1,463","1,426","635","791","3,016","1,552","1,464","1,427","634","793","3,012","1,552","1,460","1,428","637","791","3,005","1,548","1,457","1,434","641","793","2,997","1,544","1,453","1,433","643","790","2,985","1,537","1,448","1,430","643","787","2,972","1,533","1,439","1,433","646","787","2,957","1,530","1,427","1,428","644","784","2,958","1,539","1,419","1,432","651","781","2,959","1,536","1,423","1,430","651","779","2,956","1,540","1,416","1,442","660","782","2,963","1,546","1,417","1,446","662","784","2,970","1,547","1,423","1,449","664","785","2,969","1,552","1,417","1,452","667","785","2,958","1,547","1,411","1,452","669","783","2,943","1,537","1,406","1,457","671","786","2,927","1,522","1,405","1,453","667","786","2,921","1,518","1,403","1,461","670","791","2,901","1,513","1,388","1,450","665","785","2,893","1,505","1,388","1,440","658","782","2,880","1,491","1,389","1,441","655","786","2,868","1,486","1,382","1,433","656","777","2,865","1,485","1,380","1,437","658","779","2,867","1,485","1,382","1,437","659","778","2,861","1,483","1,378","1,434","657","777","2,872","1,490","1,382","1,445","664","781","2,860","1,487","1,373","1,451","666","785","2,849","1,480","1,369","1,454","667","787","2,852","1,482","1,370","1,454","666","788","2,842","1,477","1,365","1,458","667","791"
