시군,종류,시설명,주소,전화번호
천안시,방문목욕,천안시노인종합복지관부설 천안노인복지센터,충청남도 천안시 서북구 미라11길  16 (쌍용동),041-571-0286
천안시,방문요양,천안시노인종합복지관부설 천안노인복지센터,충청남도 천안시 서북구 미라11길  16 (쌍용동),041-571-0286
천안시,방문목욕,이웃사랑노인복지센터,충청남도 천안시 서북구 성환읍 성월수향길  30 2층 (성환읍),041-583-2646
천안시,방문요양,이웃사랑노인복지센터,충청남도 천안시 서북구 성환읍 성월수향길  30 2층 (성환읍),041-583-2646
천안시,방문요양,느티나무노인복지센터,충청남도 천안시 동남구 통정7길  5-3 (신방동),041-523-7995
천안시,방문요양,천안고향의집병설재가노인복지센터,충청남도 천안시 동남구 우영3길  21 (봉명동),041-574-7501
천안시,단기보호,남천안노인요양원병설재가노인복지센터,충청남도 천안시 동남구 광덕면 차령로  4267 (광덕면),041-575-7518
천안시,방문요양,남천안노인요양원병설재가노인복지센터,충청남도 천안시 동남구 광덕면 차령로  4267 (광덕면),041-575-7518
천안시,방문목욕,하은요양센터,충청남도 천안시 서북구 불당5길  15 2층201호 (불당동),041-567-1284
천안시,방문요양,하은요양센터,충청남도 천안시 서북구 불당5길  15 2층201호 (불당동),041-567-1284
천안시,방문요양,성남재가노인복지시설,충청남도 천안시 동남구 성남면 약수로  323-18 (성남면),041-569-4425
천안시,방문요양,아우내은빛복지관부설아우내노인복지센터,충청남도 천안시 동남구 병천면 병천2로  57 (병천면),041-556-6652
천안시,방문요양,우리노인주간보호센터,충청남도 천안시 동남구 목천읍 신계1길  23 (목천읍),041-555-0330
천안시,방문요양,참사랑복지센터,충청남도 천안시 서북구 성환읍 대학로  26 (성환읍),041-582-0560
천안시,방문목욕,더조은 방문요양복지센터,"충청남도 천안시 서북구 늘푸른1길  50 상가동201호 (두정동, 두정4차 푸르지오)",041-554-9085
천안시,방문요양,더조은 방문요양복지센터,"충청남도 천안시 서북구 늘푸른1길  50 상가동201호 (두정동, 두정4차 푸르지오)",041-554-9085
천안시,방문목욕,온맘터치 천안아산점,충청남도 천안시 서북구 쌍용15길  3 101호 (쌍용동),041-571-7225
천안시,방문요양,온맘터치 천안아산점,충청남도 천안시 서북구 쌍용15길  3 101호 (쌍용동),041-571-7225
천안시,방문요양,천안아산노인복지센터,충청남도 천안시 서북구 쌍용11길  57 상가동205호 (쌍용동),041-579-2005
천안시,방문목욕,해피동행재가노인복지센터,충청남도 천안시 서북구 월봉5길  39-6 203호 (쌍용동),041-579-5343
천안시,방문요양,해피동행재가노인복지센터,충청남도 천안시 서북구 월봉5길  39-6 203호 (쌍용동),041-579-5343
천안시,방문요양,이화노인복지센터,충청남도 천안시 서북구 성환읍 성환13길  4-1 2층 (성환읍),041-909-6130
천안시,방문요양,그루터기재가복지센터,충청남도 천안시 동남구 다가말4길  44 102호 (다가동),041-578-9991
천안시,방문목욕,섬김요양원 병설 천안재가서비스지원센터,충청남도 천안시 서북구 천안대로  1337 2층 (신당동),041-585-3436
천안시,방문요양,섬김요양원 병설 천안재가서비스지원센터,충청남도 천안시 서북구 천안대로  1337 2층 (신당동),041-585-3436
천안시,방문목욕,사랑방노인복지센터,충청남도 천안시 서북구 입장면 성진로  794 (입장면),041-583-9917
천안시,방문요양,사랑방노인복지센터,충청남도 천안시 서북구 입장면 성진로  794 (입장면),041-583-9917
천안시,방문목욕,`+사랑실천복지센터,충청남도 천안시 동남구 통정1로  38-17 2층 (신방동),041-578-1605
천안시,방문요양,`+사랑실천복지센터,충청남도 천안시 동남구 통정1로  38-17 2층 (신방동),041-578-1605
천안시,방문목욕,한마음재가복지센터,충청남도 천안시 서북구 직산읍 봉주로  6 (직산읍),041-581-1020
천안시,방문요양,한마음재가복지센터,충청남도 천안시 서북구 직산읍 봉주로  6 (직산읍),041-581-1020
천안시,방문목욕,입장한옥실버센터,충청남도 천안시 서북구 입장면 하장4길  45 c동1층 (입장면),041-588-3864
천안시,방문요양,입장한옥실버센터,충청남도 천안시 서북구 입장면 하장4길  45 c동1층 (입장면),041-588-3864
천안시,방문목욕,아가페재가복지센터,충청남도 천안시 동남구 청당산업길  76 302호 (구룡동),070-4042-9182
천안시,방문요양,아가페재가복지센터,충청남도 천안시 동남구 청당산업길  76 302호 (구룡동),070-4042-9182
천안시,방문목욕,천안도우누리재가노인복지센터,"충청남도 천안시 동남구 다가말2길  86-1 B1, F1, F2층 (다가동)",041-417-0350
천안시,방문요양,천안도우누리재가노인복지센터,"충청남도 천안시 동남구 다가말2길  86-1 B1, F1, F2층 (다가동)",041-417-0350
천안시,복지용구,천안도우누리재가노인복지센터,"충청남도 천안시 동남구 다가말2길  86-1 B1, F1, F2층 (다가동)",041-417-0350
천안시,방문간호,천안재가복지센터,충청남도 천안시 동남구 영성로  30 2층 (영성동),041-571-2800
천안시,방문목욕,천안재가복지센터,충청남도 천안시 동남구 영성로  30 2층 (영성동),041-571-2800
천안시,방문요양,천안재가복지센터,충청남도 천안시 동남구 영성로  30 2층 (영성동),041-571-2800
천안시,방문목욕,으뜸재가복지센터,충청남도 천안시 동남구 원거리9길  20-1 2층 (원성동),041-561-8809
천안시,방문요양,으뜸재가복지센터,충청남도 천안시 동남구 원거리9길  20-1 2층 (원성동),041-561-8809
천안시,방문목욕,효드림재가복지센터,충청남도 천안시 서북구 성환읍 성환중앙로  55 1층 (성환읍),041-904-7321
천안시,방문요양,효드림재가복지센터,충청남도 천안시 서북구 성환읍 성환중앙로  55 1층 (성환읍),041-904-7321
천안시,방문목욕,다솜재가복지센터,충청남도 천안시 서북구 성환읍 성환중앙로  36 (성환읍),041-585-7778
천안시,방문요양,다솜재가복지센터,충청남도 천안시 서북구 성환읍 성환중앙로  36 (성환읍),041-585-7778
천안시,방문요양,에덴재가복지센터,충청남도 천안시 서북구 봉정로  195 405호 (성정동),041-417-0318
천안시,방문요양,두드림복지재가센터,충청남도 천안시 서북구 서부대로  602 105호 (성정동),041-577-7916
천안시,방문요양,충청남도여성가족청소년사회서비스원 충남동부돌봄센터,충청남도 천안시 동남구 대흥로  292 2층 (성황동),041-555-5593
천안시,방문요양,해맑음재가장기요양센터,"충청남도 천안시 동남구 목천읍 신계1길  41 107호 (목천읍, 동우아파트 상가)",041-551-7772
천안시,방문목욕,바른재가복지센터,충청남도 천안시 동남구 신부15길  15 3층301호 (신부동),070-8183-1800
